Job,Machine,Start,Duration,End
Job 0,M0,398.0,29,427.0
Job 0,M1,481.0,78,559.0
Job 0,M2,559.0,9,568.0
Job 0,M3,568.0,36,604.0
Job 0,M4,604.0,49,653.0
Job 0,M5,685.0,11,696.0
Job 0,M6,696.0,62,758.0
Job 0,M7,842.0,56,898.0
Job 0,M8,898.0,44,942.0
Job 0,M9,942.0,21,963.0
Job 1,M0,0.0,43,43.0
Job 1,M2,43.0,90,133.0
Job 1,M4,133.0,75,208.0
Job 1,M9,326.0,11,337.0
Job 1,M3,337.0,69,406.0
Job 1,M1,431.0,28,459.0
Job 1,M6,498.0,46,544.0
Job 1,M5,566.0,46,612.0
Job 1,M7,641.0,72,713.0
Job 1,M8,762.0,30,792.0
Job 2,M1,196.0,91,287.0
Job 2,M0,444.0,85,529.0
Job 2,M3,529.0,39,568.0
Job 2,M2,577.0,74,651.0
Job 2,M8,651.0,90,741.0
Job 2,M5,741.0,10,751.0
Job 2,M7,751.0,12,763.0
Job 2,M6,763.0,89,852.0
Job 2,M9,884.0,45,929.0
Job 2,M4,937.0,33,970.0
Job 3,M1,46.0,81,127.0
Job 3,M2,133.0,95,228.0
Job 3,M0,228.0,71,299.0
Job 3,M4,299.0,99,398.0
Job 3,M6,398.0,9,407.0
Job 3,M8,415.0,52,467.0
Job 3,M7,467.0,85,552.0
Job 3,M3,630.0,98,728.0
Job 3,M9,771.0,22,793.0
Job 3,M5,793.0,43,836.0
Job 4,M2,331.0,14,345.0
Job 4,M0,427.0,6,433.0
Job 4,M1,459.0,22,481.0
Job 4,M5,505.0,61,566.0
Job 4,M3,604.0,26,630.0
Job 4,M4,653.0,69,722.0
Job 4,M8,741.0,21,762.0
Job 4,M7,763.0,49,812.0
Job 4,M9,812.0,72,884.0
Job 4,M6,917.0,53,970.0
Job 5,M2,241.0,84,325.0
Job 5,M1,372.0,2,374.0
Job 5,M5,374.0,52,426.0
Job 5,M3,426.0,95,521.0
Job 5,M8,562.0,48,610.0
Job 5,M9,699.0,72,771.0
Job 5,M0,805.0,47,852.0
Job 5,M6,852.0,65,917.0
Job 5,M4,925.0,6,931.0
Job 5,M7,945.0,25,970.0
Job 6,M1,-0.0,46,46.0
Job 6,M0,119.0,37,156.0
Job 6,M3,156.0,61,217.0
Job 6,M2,228.0,13,241.0
Job 6,M6,241.0,32,273.0
Job 6,M5,273.0,21,294.0
Job 6,M9,294.0,32,326.0
Job 6,M8,326.0,89,415.0
Job 6,M7,812.0,30,842.0
Job 6,M4,870.0,55,925.0
Job 7,M2,0.0,31,31.0
Job 7,M0,299.0,86,385.0
Job 7,M1,385.0,46,431.0
Job 7,M5,431.0,74,505.0
Job 7,M4,505.0,32,537.0
Job 7,M6,544.0,88,632.0
Job 7,M8,632.0,19,651.0
Job 7,M9,651.0,48,699.0
Job 7,M7,713.0,36,749.0
Job 7,M3,780.0,79,859.0
Job 8,M0,43.0,76,119.0
Job 8,M1,127.0,69,196.0
Job 8,M3,217.0,76,293.0
Job 8,M5,294.0,51,345.0
Job 8,M2,345.0,85,430.0
Job 8,M9,430.0,11,441.0
Job 8,M6,441.0,40,481.0
Job 8,M7,552.0,89,641.0
Job 8,M4,722.0,26,748.0
Job 8,M8,792.0,74,866.0
Job 9,M1,287.0,85,372.0
Job 9,M0,385.0,13,398.0
Job 9,M2,430.0,61,491.0
Job 9,M6,491.0,7,498.0
Job 9,M8,498.0,64,562.0
Job 9,M9,562.0,76,638.0
Job 9,M5,638.0,47,685.0
Job 9,M3,728.0,52,780.0
Job 9,M4,780.0,90,870.0
Job 9,M7,900.0,45,945.0
