Job,Arrival,Machine,Start,Processing Time,Flow time,End
Job_088,5680.08,M0,8522.05,76,2917.9699999999993,8598.05
Job_088,5680.08,M1,8598.05,69,2986.9699999999993,8667.05
Job_088,5680.08,M3,8857.17,76,3253.09,8933.17
Job_088,5680.08,M5,8977.17,51,3348.09,9028.17
Job_088,5680.08,M2,9028.17,85,3433.09,9113.17
Job_088,5680.08,M9,9289.59,11,3620.51,9300.59
Job_088,5680.08,M6,9385.71,40,3745.629999999999,9425.71
Job_088,5680.08,M7,9488.71,89,3897.629999999999,9577.71
Job_088,5680.08,M4,9577.71,26,3923.629999999999,9603.71
Job_088,5680.08,M8,9603.71,74,3997.629999999999,9677.71
Job_087,5644.29,M2,8638.11,31,3024.8200000000006,8669.11
Job_087,5644.29,M0,8669.11,86,3110.8200000000006,8755.11
Job_087,5644.29,M1,8885.17,46,3286.88,8931.17
Job_087,5644.29,M5,9038.29,74,3468.000000000001,9112.29
Job_087,5644.29,M4,9126.47,32,3514.1799999999994,9158.47
Job_087,5644.29,M6,9297.65,88,3741.3599999999997,9385.65
Job_087,5644.29,M8,9385.65,19,3760.3599999999997,9404.65
Job_087,5644.29,M9,9404.65,48,3808.3599999999997,9452.65
Job_087,5644.29,M7,9452.65,36,3844.3599999999997,9488.65
Job_087,5644.29,M3,9488.65,79,3923.3599999999997,9567.65
Job_086,5591.92,M1,8070.63,46,2524.71,8116.63
Job_086,5591.92,M0,8328.87,37,2773.9500000000007,8365.87
Job_086,5591.92,M3,8489.99,61,2959.0699999999997,8550.99
Job_086,5591.92,M2,8550.99,13,2972.0699999999997,8563.99
Job_086,5591.92,M6,8636.11,32,3076.1900000000005,8668.11
Job_086,5591.92,M5,8668.11,21,3097.1900000000005,8689.11
Job_086,5591.92,M9,8745.05,32,3185.129999999999,8777.05
Job_086,5591.92,M8,8792.23,89,3289.3099999999995,8881.23
Job_086,5591.92,M7,9041.41,30,3479.49,9071.41
Job_086,5591.92,M4,9071.41,55,3534.49,9126.41
Job_085,5542.52,M2,8169.69,84,2711.17,8253.69
Job_085,5542.52,M1,8350.87,2,2810.3500000000004,8352.87
Job_085,5542.52,M5,8597.17,52,3106.6499999999996,8649.17
Job_085,5542.52,M3,8649.17,95,3201.6499999999996,8744.17
Job_085,5542.52,M8,8744.17,48,3249.6499999999996,8792.17
Job_085,5542.52,M9,8792.17,72,3321.6499999999996,8864.17
Job_085,5542.52,M0,8864.17,47,3368.6499999999996,8911.17
Job_085,5542.52,M6,8940.23,65,3462.709999999999,9005.23
Job_085,5542.52,M4,9158.53,6,3622.01,9164.53
Job_085,5542.52,M7,9240.65,25,3723.129999999999,9265.65
Job_084,5519.69,M2,7913.57,14,2407.88,7927.57
Job_084,5519.69,M0,8322.81,6,2809.12,8328.81
Job_084,5519.69,M1,8328.81,22,2831.12,8350.81
Job_084,5519.69,M5,8536.11,61,3077.420000000001,8597.11
Job_084,5519.69,M3,8597.11,26,3103.420000000001,8623.11
Job_084,5519.69,M4,8656.17,69,3205.4800000000005,8725.17
Job_084,5519.69,M8,8971.35,21,3472.6600000000008,8992.35
Job_084,5519.69,M7,8992.35,49,3521.6600000000008,9041.35
Job_084,5519.69,M9,9041.35,72,3593.6600000000008,9113.35
Job_084,5519.69,M6,9244.59,53,3777.9000000000005,9297.59
