Job,Arrival,Machine,Start,Processing Time,Flow time,End
Job_088,5680.08,M0,8417.7,76,2813.620000000001,8493.7
Job_088,5680.08,M1,8642.64,69,3031.5599999999995,8711.64
Job_088,5680.08,M3,8854.94,76,3250.8600000000006,8930.94
Job_088,5680.08,M5,8930.94,51,3301.8600000000006,8981.94
Job_088,5680.08,M2,8981.94,85,3386.8600000000006,9066.94
Job_088,5680.08,M9,9250.94,11,3581.8600000000006,9261.94
Job_088,5680.08,M6,9261.94,40,3621.8600000000006,9301.94
Job_088,5680.08,M7,9301.94,89,3710.8600000000006,9390.94
Job_088,5680.08,M4,9390.94,26,3736.8600000000006,9416.94
Job_088,5680.08,M8,9416.94,74,3810.8600000000006,9490.94
Job_087,5644.29,M2,8129.46,31,2516.17,8160.46
Job_087,5644.29,M0,8284.58,86,2726.29,8370.58
Job_087,5644.29,M1,8370.58,46,2772.29,8416.58
Job_087,5644.29,M5,8787.76,74,3217.4700000000003,8861.76
Job_087,5644.29,M4,8861.76,32,3249.4700000000003,8893.76
Job_087,5644.29,M6,9095.88,88,3539.5899999999992,9183.88
Job_087,5644.29,M8,9183.88,19,3558.5899999999992,9202.88
Job_087,5644.29,M9,9202.88,48,3606.5899999999992,9250.88
Job_087,5644.29,M7,9250.88,36,3642.5899999999992,9286.88
Job_087,5644.29,M3,9286.88,79,3721.5899999999992,9365.88
Job_086,5591.92,M1,8201.52,46,2655.6000000000004,8247.52
Job_086,5591.92,M0,8247.52,37,2692.6000000000004,8284.52
Job_086,5591.92,M3,8449.64,61,2918.7199999999993,8510.64
Job_086,5591.92,M2,8523.64,13,2944.7199999999993,8536.64
Job_086,5591.92,M6,8688.64,32,3128.7199999999993,8720.64
Job_086,5591.92,M5,8720.64,21,3149.7199999999993,8741.64
Job_086,5591.92,M9,8894.82,32,3334.8999999999996,8926.82
Job_086,5591.92,M8,8943.88,89,3440.959999999999,9032.88
Job_086,5591.92,M7,9032.88,30,3470.959999999999,9062.88
Job_086,5591.92,M4,9062.88,55,3525.959999999999,9117.88
Job_085,5542.52,M2,7824.22,84,2365.7,7908.22
Job_085,5542.52,M1,8247.58,2,2707.0599999999995,8249.58
Job_085,5542.52,M5,8333.52,52,2843.0,8385.52
Job_085,5542.52,M3,8614.64,95,3167.119999999999,8709.64
Job_085,5542.52,M8,8709.64,48,3215.119999999999,8757.64
Job_085,5542.52,M9,8822.76,72,3352.24,8894.76
Job_085,5542.52,M0,8894.76,47,3399.24,8941.76
Job_085,5542.52,M6,8941.76,65,3464.24,9006.76
Job_085,5542.52,M4,9173.88,6,3637.3599999999988,9179.88
Job_085,5542.52,M7,9179.88,25,3662.3599999999988,9204.88
Job_084,5519.69,M2,7810.16,14,2304.4700000000003,7824.16
Job_084,5519.69,M0,7968.28,6,2454.59,7974.28
Job_084,5519.69,M1,7974.28,22,2476.59,7996.28
Job_084,5519.69,M5,8272.46,61,2813.7699999999995,8333.46
Job_084,5519.69,M3,8348.46,26,2854.7699999999995,8374.46
Job_084,5519.69,M4,8534.64,69,3083.95,8603.64
Job_084,5519.69,M8,8603.64,21,3104.95,8624.64
Job_084,5519.69,M7,8634.76,49,3164.0700000000006,8683.76
Job_084,5519.69,M9,8691.76,72,3244.0700000000006,8763.76
Job_084,5519.69,M6,8763.76,53,3297.0700000000006,8816.76
Job_083,5502.24,M1,8120.46,81,2699.2199999999993,8201.46
Job_083,5502.24,M2,8201.46,95,2794.2199999999993,8296.46
Job_083,5502.24,M0,8493.76,71,3062.5200000000004,8564.76
Job_083,5502.24,M4,8609.76,99,3206.5200000000004,8708.76
Job_083,5502.24,M6,8816.82,9,3323.58,8825.82
Job_083,5502.24,M8,8891.82,52,3441.58,8943.82
Job_083,5502.24,M7,9062.94,85,3645.7000000000007,9147.94
Job_083,5502.24,M3,9147.94,98,3743.7000000000007,9245.94
Job_083,5502.24,M9,9262.0,22,3781.76,9284.0
Job_083,5502.24,M5,9284.0,43,3824.76,9327.0
Job_082,5471.51,M1,7771.04,91,2390.5299999999997,7862.04
Job_082,5471.51,M0,7974.34,85,2587.83,8059.34
Job_082,5471.51,M3,8410.58,39,2978.0699999999997,8449.58
Job_082,5471.51,M2,8449.58,74,3052.0699999999997,8523.58
Job_082,5471.51,M8,8801.76,90,3420.25,8891.76
Job_082,5471.51,M5,8891.76,10,3430.25,8901.76
Job_082,5471.51,M7,8901.76,12,3442.25,8913.76
Job_082,5471.51,M6,9006.82,89,3624.3099999999995,9095.82
Job_082,5471.51,M9,9095.82,45,3669.3099999999995,9140.82
Job_082,5471.51,M4,9140.82,33,3702.3099999999995,9173.82
Job_081,5446.97,M0,7925.22,43,2521.25,7968.22
Job_081,5446.97,M2,7968.22,90,2611.25,8058.22
Job_081,5446.97,M4,8459.58,75,3087.6099999999997,8534.58
Job_081,5446.97,M9,8534.58,11,3098.6099999999997,8545.58
Job_081,5446.97,M3,8545.58,69,3167.6099999999997,8614.58
Job_081,5446.97,M1,8614.58,28,3195.6099999999997,8642.58
Job_081,5446.97,M6,8642.58,46,3241.6099999999997,8688.58
Job_081,5446.97,M5,8741.7,46,3340.7300000000005,8787.7
Job_081,5446.97,M7,8787.7,72,3412.7300000000005,8859.7
Job_081,5446.97,M8,9032.94,30,3615.9700000000003,9062.94
Job_080,5428.56,M0,7896.16,29,2496.5999999999995,7925.16
Job_080,5428.56,M1,8042.4,78,2691.8399999999992,8120.4
Job_080,5428.56,M2,8120.4,9,2700.8399999999992,8129.4
Job_080,5428.56,M3,8374.52,36,2981.96,8410.52
Job_080,5428.56,M4,8410.52,49,3030.96,8459.52
Job_080,5428.56,M5,8459.52,11,3041.96,8470.52
Job_080,5428.56,M6,8525.52,62,3158.96,8587.52
Job_080,5428.56,M7,8683.82,56,3311.2599999999993,8739.82
Job_080,5428.56,M8,8757.7,44,3373.1400000000003,8801.7
Job_080,5428.56,M9,8801.7,21,3394.1400000000003,8822.7
Job_079,5392.59,M2,7779.1,31,2417.51,7810.1
Job_079,5392.59,M0,7810.1,86,2503.51,7896.1
Job_079,5392.59,M1,7996.34,46,2649.75,8042.34
Job_079,5392.59,M5,8198.4,74,2879.8099999999995,8272.4
Job_079,5392.59,M4,8340.4,32,2979.8099999999995,8372.4
Job_079,5392.59,M6,8372.4,88,3067.8099999999995,8460.4
Job_079,5392.59,M8,8624.7,19,3251.1100000000006,8643.7
Job_079,5392.59,M9,8643.7,48,3299.1100000000006,8691.7
Job_079,5392.59,M7,8739.88,36,3383.289999999999,8775.88
Job_079,5392.59,M3,8775.88,79,3462.289999999999,8854.88
Job_078,5260.64,M2,7629.92,14,2383.2799999999997,7643.92
Job_078,5260.64,M0,7643.92,6,2389.2799999999997,7649.92
Job_078,5260.64,M1,7748.98,22,2510.3399999999992,7770.98
Job_078,5260.64,M5,7818.04,61,2618.3999999999996,7879.04
Job_078,5260.64,M3,7879.04,26,2644.3999999999996,7905.04
Job_078,5260.64,M4,7955.28,69,2763.6399999999994,8024.28
Job_078,5260.64,M8,8155.4,21,2915.7599999999993,8176.4
Job_078,5260.64,M7,8176.4,49,2964.7599999999993,8225.4
Job_078,5260.64,M9,8225.4,72,3036.7599999999993,8297.4
Job_078,5260.64,M6,8297.4,53,3089.7599999999993,8350.4
Job_077,5173.77,M2,7129.56,84,2039.79,7213.56
Job_077,5173.77,M1,7299.62,2,2127.8499999999995,7301.62
Job_077,5173.77,M5,7521.98,52,2400.209999999999,7573.98
Job_077,5173.77,M3,7905.1,95,2826.33,8000.1
Job_077,5173.77,M8,8206.52,48,3080.75,8254.52
Job_077,5173.77,M9,8297.46,72,3195.6899999999987,8369.46
Job_077,5173.77,M0,8370.64,47,3243.869999999999,8417.64
Job_077,5173.77,M6,8460.46,65,3351.6899999999987,8525.46
Job_077,5173.77,M4,8603.7,6,3435.9300000000003,8609.7
Job_077,5173.77,M7,8609.7,25,3460.9300000000003,8634.7
Job_076,5147.59,M1,7214.56,85,2151.9700000000003,7299.56
Job_076,5147.59,M0,7402.68,13,2268.09,7415.68
Job_076,5147.59,M2,7718.04,61,2631.45,7779.04
Job_076,5147.59,M6,7794.98,7,2654.3899999999994,7801.98
Job_076,5147.59,M8,7808.04,64,2724.45,7872.04
Job_076,5147.59,M9,8075.34,76,3003.75,8151.34
Job_076,5147.59,M5,8151.34,47,3050.75,8198.34
Job_076,5147.59,M3,8198.34,52,3102.75,8250.34
Job_076,5147.59,M4,8250.34,90,3192.75,8340.34
Job_076,5147.59,M7,8340.34,45,3237.75,8385.34
Job_075,5023.92,M0,6965.5,43,1984.58,7008.5
Job_075,5023.92,M2,7039.5,90,2105.58,7129.5
Job_075,5023.92,M4,7392.68,75,2443.76,7467.68
Job_075,5023.92,M9,7640.92,11,2628.0,7651.92
Job_075,5023.92,M3,7651.92,69,2697.0,7720.92
Job_075,5023.92,M1,7720.92,28,2725.0,7748.92
Job_075,5023.92,M6,7748.92,46,2771.0,7794.92
Job_075,5023.92,M5,7879.1,46,2901.1800000000003,7925.1
Job_075,5023.92,M7,7941.34,72,2989.42,8013.34
Job_075,5023.92,M8,8176.46,30,3182.539999999999,8206.46
Job_074,4997.77,M1,7133.5,81,2216.7299999999996,7214.5
Job_074,4997.77,M2,7214.5,95,2311.7299999999996,7309.5
Job_074,4997.77,M0,7331.62,71,2404.8499999999995,7402.62
Job_074,4997.77,M4,7761.1,99,2862.33,7860.1
Job_074,4997.77,M6,7860.1,9,2871.33,7869.1
Job_074,4997.77,M8,8029.28,52,3083.5099999999993,8081.28
Job_074,4997.77,M7,8081.28,85,3168.5099999999993,8166.28
Job_074,4997.77,M3,8250.4,98,3350.629999999999,8348.4
Job_074,4997.77,M9,8369.52,22,3393.75,8391.52
Job_074,4997.77,M5,8391.52,43,3436.75,8434.52
Job_073,4953.79,M1,7042.44,91,2179.6499999999996,7133.44
Job_073,4953.79,M0,7246.56,85,2377.7700000000004,7331.56
Job_073,4953.79,M3,7439.74,39,2524.95,7478.74
Job_073,4953.79,M2,7643.98,74,2764.1899999999996,7717.98
Job_073,4953.79,M8,7717.98,90,2854.1899999999996,7807.98
Job_073,4953.79,M5,7807.98,10,2864.1899999999996,7817.98
Job_073,4953.79,M7,7929.28,12,2987.49,7941.28
Job_073,4953.79,M6,7941.28,89,3076.49,8030.28
Job_073,4953.79,M9,8030.28,45,3121.49,8075.28
Job_073,4953.79,M4,8075.28,33,3154.49,8108.28
Job_072,4920.96,M0,6747.26,29,1855.3000000000002,6776.26
Job_072,4920.96,M1,6826.26,78,1983.3000000000002,6904.26
Job_072,4920.96,M2,6913.38,9,2001.42,6922.38
Job_072,4920.96,M3,7124.56,36,2239.6000000000004,7160.56
Job_072,4920.96,M4,7319.62,49,2447.66,7368.62
Job_072,4920.96,M5,7510.92,11,2600.96,7521.92
Job_072,4920.96,M6,7521.92,62,2662.96,7583.92
Job_072,4920.96,M7,7583.92,56,2718.96,7639.92
Job_072,4920.96,M8,7639.92,44,2762.96,7683.92
Job_072,4920.96,M9,7683.92,21,2783.96,7704.92
Job_071,4902.98,M1,6780.2,46,1923.2200000000003,6826.2
Job_071,4902.98,M0,6928.44,37,2062.46,6965.44
Job_071,4902.98,M3,6965.44,61,2123.46,7026.44
Job_071,4902.98,M2,7026.44,13,2136.46,7039.44
Job_071,4902.98,M6,7289.56,32,2418.580000000001,7321.56
Job_071,4902.98,M5,7387.74,21,2505.76,7408.74
Job_071,4902.98,M9,7408.74,32,2537.76,7440.74
Job_071,4902.98,M8,7440.74,89,2626.76,7529.74
Job_071,4902.98,M7,7676.04,30,2803.0600000000004,7706.04
Job_071,4902.98,M4,7706.04,55,2858.0600000000004,7761.04
Job_070,4863.36,M0,6852.38,76,2065.0200000000004,6928.38
Job_070,4863.36,M1,6973.38,69,2179.0200000000004,7042.38
Job_070,4863.36,M3,7236.68,76,2449.3200000000006,7312.68
Job_070,4863.36,M5,7459.86,51,2647.5,7510.86
Job_070,4863.36,M2,7544.86,85,2766.5,7629.86
Job_070,4863.36,M9,7629.86,11,2777.5,7640.86
Job_070,4863.36,M6,7640.86,40,2817.5,7680.86
Job_070,4863.36,M7,7751.16,89,2976.8,7840.16
Job_070,4863.36,M4,7860.16,26,3022.8,7886.16
Job_070,4863.36,M8,8081.34,74,3291.9800000000005,8155.34
Job_069,4835.0,M1,6619.14,85,1869.1400000000003,6704.14
Job_069,4835.0,M0,6734.2,13,1912.1999999999998,6747.2
Job_069,4835.0,M2,6852.32,61,2078.3199999999997,6913.32
Job_069,4835.0,M6,7074.5,7,2246.5,7081.5
Job_069,4835.0,M8,7081.5,64,2310.5,7145.5
Job_069,4835.0,M9,7199.56,76,2440.5600000000004,7275.56
Job_069,4835.0,M5,7340.68,47,2552.6800000000003,7387.68
Job_069,4835.0,M3,7387.68,52,2604.6800000000003,7439.68
Job_069,4835.0,M4,7467.74,90,2722.74,7557.74
Job_069,4835.0,M7,7706.1,45,2916.1000000000004,7751.1
Job_068,4832.27,M0,6776.32,76,2020.0499999999993,6852.32
Job_068,4832.27,M1,6904.32,69,2141.0499999999993,6973.32
Job_068,4832.27,M3,7160.62,76,2404.3499999999995,7236.62
Job_068,4832.27,M5,7408.8,51,2627.5299999999997,7459.8
Job_068,4832.27,M2,7459.8,85,2712.5299999999997,7544.8
Job_068,4832.27,M9,7651.98,11,2830.709999999999,7662.98
Job_068,4832.27,M6,7680.92,40,2888.6499999999996,7720.92
Job_068,4832.27,M7,7840.22,89,3096.95,7929.22
Job_068,4832.27,M4,7929.22,26,3122.95,7955.22
Job_068,4832.27,M8,7955.22,74,3196.95,8029.22
Job_067,4765.72,M2,6617.14,31,1882.42,6648.14
Job_067,4765.72,M0,6648.14,86,1968.42,6734.14
Job_067,4765.72,M1,6734.14,46,2014.42,6780.14
Job_067,4765.72,M5,7095.5,74,2403.7799999999997,7169.5
Job_067,4765.72,M4,7169.5,32,2435.7799999999997,7201.5
Job_067,4765.72,M6,7201.5,88,2523.7799999999997,7289.5
Job_067,4765.72,M8,7289.5,19,2542.7799999999997,7308.5
Job_067,4765.72,M9,7308.5,48,2590.7799999999997,7356.5
Job_067,4765.72,M7,7639.98,36,2910.2599999999993,7675.98
Job_067,4765.72,M3,7720.98,79,3034.2599999999993,7799.98
Job_066,4716.25,M1,6448.02,46,1777.7700000000004,6494.02
Job_066,4716.25,M0,6563.08,37,1883.83,6600.08
Job_066,4716.25,M3,6778.26,61,2123.01,6839.26
Job_066,4716.25,M2,6839.26,13,2136.01,6852.26
Job_066,4716.25,M6,7042.44,32,2358.1899999999996,7074.44
Job_066,4716.25,M5,7074.44,21,2379.1899999999996,7095.44
