Job,Arrival,Machine,Start,Processing Time,Flow time,End
Job_000,0.0,M9,374.0,21,395.0,395.0
Job_000,0.0,M0,0.0,29,29.0,29.0
Job_000,0.0,M1,29.0,78,107.0,107.0
Job_000,0.0,M2,107.0,9,116.0,116.0
Job_000,0.0,M3,116.0,36,152.0,152.0
Job_000,0.0,M8,330.0,44,374.0,374.0
Job_000,0.0,M5,201.0,11,212.0,212.0
Job_000,0.0,M7,274.0,56,330.0,330.0
Job_000,0.0,M4,152.0,49,201.0,201.0
Job_000,0.0,M6,212.0,62,274.0,274.0
Job_001,84.93,M8,605.24,30,550.31,635.24
Job_001,84.93,M7,533.24,72,520.31,605.24
Job_001,84.93,M5,465.12,46,426.19,511.12
Job_001,84.93,M6,419.12,46,380.19,465.12
Job_001,84.93,M1,391.12,28,334.19,419.12
Job_001,84.93,M3,322.12,69,306.19,391.12
Job_001,84.93,M9,292.93,11,219.0,303.93
Job_001,84.93,M4,217.93,75,208.0,292.93
Job_001,84.93,M2,127.93,90,133.0,217.93
Job_001,84.93,M0,84.93,43,43.0,127.93
Job_002,106.18,M1,107.06,91,91.88,198.06
Job_002,106.18,M0,198.06,85,176.88,283.06
Job_002,106.18,M3,283.06,39,215.88,322.06
Job_002,106.18,M2,322.06,74,289.88,396.06
Job_002,106.18,M6,620.3,89,603.1199999999999,709.3
Job_002,106.18,M5,511.18,10,415.0,521.18
Job_002,106.18,M7,521.18,12,427.0,533.18
Job_002,106.18,M9,709.3,45,648.1199999999999,754.3
Job_002,106.18,M4,754.3,33,681.1199999999999,787.3
Job_002,106.18,M8,396.06,90,379.88,486.06
Job_003,148.31,M4,787.36,99,738.05,886.36
Job_003,148.31,M1,198.12,81,130.81,279.12
Job_003,148.31,M2,480.18,95,426.87,575.18
Job_003,148.31,M6,886.36,9,747.05,895.36
Job_003,148.31,M0,618.54,71,541.23,689.54
Job_003,148.31,M7,1038.54,85,975.23,1123.54
Job_003,148.31,M5,1334.02,43,1228.71,1377.02
Job_003,148.31,M3,1214.02,98,1163.71,1312.02
Job_003,148.31,M9,1312.02,22,1185.71,1334.02
Job_003,148.31,M8,895.36,52,799.05,947.36
