Job,Arrival,Machine,Start,Processing Time,Flow time,End
Job_088,5680.08,M0,23608.09,76,18004.010000000002,23684.09
Job_088,5680.08,M1,23961.09,69,18350.010000000002,24030.09
Job_088,5680.08,M3,24030.09,76,18426.010000000002,24106.09
Job_088,5680.08,M5,24106.09,51,18477.010000000002,24157.09
Job_088,5680.08,M2,24157.09,85,18562.010000000002,24242.09
Job_088,5680.08,M9,24242.09,11,18573.010000000002,24253.09
Job_088,5680.08,M6,24253.09,40,18613.010000000002,24293.09
Job_088,5680.08,M7,24293.09,89,18702.010000000002,24382.09
Job_088,5680.08,M4,24382.09,26,18728.010000000002,24408.09
Job_088,5680.08,M8,24408.09,74,18802.010000000002,24482.09
Job_087,5644.29,M2,23490.49,31,17877.2,23521.49
Job_087,5644.29,M0,23521.49,86,17963.2,23607.49
Job_087,5644.29,M1,23607.49,46,18009.2,23653.49
Job_087,5644.29,M5,23653.49,74,18083.2,23727.49
Job_087,5644.29,M4,23727.49,32,18115.2,23759.49
Job_087,5644.29,M6,23759.49,88,18203.2,23847.49
Job_087,5644.29,M8,23847.49,19,18222.2,23866.49
Job_087,5644.29,M9,23866.49,48,18270.2,23914.49
Job_087,5644.29,M7,23914.49,36,18306.2,23950.49
Job_087,5644.29,M3,23950.49,79,18385.2,24029.49
Job_086,5591.92,M1,23310.89,46,17764.97,23356.89
Job_086,5591.92,M0,23356.89,37,17801.97,23393.89
Job_086,5591.92,M3,23393.89,61,17862.97,23454.89
Job_086,5591.92,M2,23454.89,13,17875.97,23467.89
Job_086,5591.92,M6,23467.89,32,17907.97,23499.89
Job_086,5591.92,M5,23499.89,21,17928.97,23520.89
Job_086,5591.92,M9,23520.89,32,17960.97,23552.89
Job_086,5591.92,M8,23552.89,89,18049.97,23641.89
Job_086,5591.92,M7,23641.89,30,18079.97,23671.89
Job_086,5591.92,M4,23671.89,55,18134.97,23726.89
Job_085,5542.52,M2,22914.29,84,17455.77,22998.29
Job_085,5542.52,M1,22998.29,2,17457.77,23000.29
Job_085,5542.52,M5,23000.29,52,17509.77,23052.29
Job_085,5542.52,M3,23052.29,95,17604.77,23147.29
Job_085,5542.52,M8,23147.29,48,17652.77,23195.29
Job_085,5542.52,M9,23237.29,72,17766.77,23309.29
Job_085,5542.52,M0,23309.29,47,17813.77,23356.29
Job_085,5542.52,M6,23356.29,65,17878.77,23421.29
Job_085,5542.52,M4,23421.29,6,17884.77,23427.29
Job_085,5542.52,M7,23427.29,25,17909.77,23452.29
Job_084,5519.69,M2,22346.69,14,16841.0,22360.69
Job_084,5519.69,M0,22530.69,6,17017.0,22536.69
Job_084,5519.69,M1,22916.69,22,17419.0,22938.69
Job_084,5519.69,M5,22938.69,61,17480.0,22999.69
Job_084,5519.69,M3,22999.69,26,17506.0,23025.69
Job_084,5519.69,M4,23025.69,69,17575.0,23094.69
Job_084,5519.69,M8,23094.69,21,17596.0,23115.69
Job_084,5519.69,M7,23115.69,49,17645.0,23164.69
Job_084,5519.69,M9,23164.69,72,17717.0,23236.69
Job_084,5519.69,M6,23236.69,53,17770.0,23289.69
Job_083,5502.24,M1,22053.09,81,16631.85,22134.09
Job_083,5502.24,M2,22251.09,95,16843.85,22346.09
Job_083,5502.24,M0,22459.09,71,17027.85,22530.09
Job_083,5502.24,M4,22530.09,99,17126.85,22629.09
Job_083,5502.24,M6,22629.09,9,17135.85,22638.09
Job_083,5502.24,M8,22638.09,52,17187.85,22690.09
Job_083,5502.24,M7,22690.09,85,17272.85,22775.09
Job_083,5502.24,M3,22775.09,98,17370.85,22873.09
Job_083,5502.24,M9,22873.09,22,17392.85,22895.09
Job_083,5502.24,M5,22895.09,43,17435.85,22938.09
Job_082,5471.51,M1,21961.49,91,16580.980000000003,22052.49
Job_082,5471.51,M0,22052.49,85,16665.980000000003,22137.49
Job_082,5471.51,M3,22137.49,39,16704.980000000003,22176.49
Job_082,5471.51,M2,22176.49,74,16778.980000000003,22250.49
Job_082,5471.51,M8,22250.49,90,16868.980000000003,22340.49
Job_082,5471.51,M5,22340.49,10,16878.980000000003,22350.49
Job_082,5471.51,M7,22350.49,12,16890.980000000003,22362.49
Job_082,5471.51,M6,22362.49,89,16979.980000000003,22451.49
Job_082,5471.51,M9,22451.49,45,17024.980000000003,22496.49
Job_082,5471.51,M4,22496.49,33,17057.980000000003,22529.49
Job_081,5446.97,M0,21045.89,43,15641.919999999998,21088.89
Job_081,5446.97,M2,21568.89,90,16211.919999999998,21658.89
Job_081,5446.97,M4,21658.89,75,16286.919999999998,21733.89
Job_081,5446.97,M9,21852.89,11,16416.92,21863.89
Job_081,5446.97,M3,21863.89,69,16485.92,21932.89
Job_081,5446.97,M1,21932.89,28,16513.92,21960.89
Job_081,5446.97,M6,21960.89,46,16559.92,22006.89
Job_081,5446.97,M5,22006.89,46,16605.92,22052.89
Job_081,5446.97,M7,22052.89,72,16677.92,22124.89
Job_081,5446.97,M8,22124.89,30,16707.92,22154.89
Job_080,5428.56,M0,21016.29,29,15616.73,21045.29
Job_080,5428.56,M1,21197.29,78,15846.73,21275.29
Job_080,5428.56,M2,21275.29,9,15855.73,21284.29
Job_080,5428.56,M3,21573.29,36,16180.73,21609.29
Job_080,5428.56,M4,21609.29,49,16229.73,21658.29
Job_080,5428.56,M5,21658.29,11,16240.73,21669.29
Job_080,5428.56,M6,21669.29,62,16302.73,21731.29
Job_080,5428.56,M7,21731.29,56,16358.73,21787.29
Job_080,5428.56,M8,21787.29,44,16402.73,21831.29
Job_080,5428.56,M9,21831.29,21,16423.73,21852.29
Job_079,5392.59,M2,20621.69,31,15260.099999999999,20652.69
Job_079,5392.59,M0,20929.69,86,15623.099999999999,21015.69
Job_079,5392.59,M1,21150.69,46,15804.099999999999,21196.69
Job_079,5392.59,M5,21196.69,74,15878.099999999999,21270.69
Job_079,5392.59,M4,21270.69,32,15910.099999999999,21302.69
Job_079,5392.59,M6,21302.69,88,15998.099999999999,21390.69
Job_079,5392.59,M8,21390.69,19,16017.099999999999,21409.69
Job_079,5392.59,M9,21409.69,48,16065.099999999999,21457.69
Job_079,5392.59,M7,21457.69,36,16101.099999999999,21493.69
Job_079,5392.59,M3,21493.69,79,16180.099999999999,21572.69
Job_078,5260.64,M2,20607.09,14,15360.45,20621.09
Job_078,5260.64,M0,20923.09,6,15668.45,20929.09
Job_078,5260.64,M1,20929.09,22,15690.45,20951.09
Job_078,5260.64,M5,20951.09,61,15751.45,21012.09
Job_078,5260.64,M3,21012.09,26,15777.45,21038.09
Job_078,5260.64,M4,21038.09,69,15846.45,21107.09
Job_078,5260.64,M8,21107.09,21,15867.45,21128.09
Job_078,5260.64,M7,21128.09,49,15916.45,21177.09
Job_078,5260.64,M9,21177.09,72,15988.45,21249.09
Job_078,5260.64,M6,21249.09,53,16041.45,21302.09
Job_077,5173.77,M2,20522.49,84,15432.720000000001,20606.49
Job_077,5173.77,M1,20606.49,2,15434.720000000001,20608.49
Job_077,5173.77,M5,20608.49,52,15486.720000000001,20660.49
Job_077,5173.77,M3,20660.49,95,15581.720000000001,20755.49
Job_077,5173.77,M8,20755.49,48,15629.720000000001,20803.49
Job_077,5173.77,M9,20803.49,72,15701.720000000001,20875.49
Job_077,5173.77,M0,20875.49,47,15748.720000000001,20922.49
Job_077,5173.77,M6,20922.49,65,15813.720000000001,20987.49
Job_077,5173.77,M4,20987.49,6,15819.720000000001,20993.49
Job_077,5173.77,M7,20993.49,25,15844.720000000001,21018.49
Job_076,5147.59,M1,20226.89,85,15164.3,20311.89
Job_076,5147.59,M0,20339.89,13,15205.3,20352.89
Job_076,5147.59,M2,20352.89,61,15266.3,20413.89
Job_076,5147.59,M6,20413.89,7,15273.3,20420.89
Job_076,5147.59,M8,20420.89,64,15337.3,20484.89
Job_076,5147.59,M9,20484.89,76,15413.3,20560.89
Job_076,5147.59,M5,20560.89,47,15460.3,20607.89
Job_076,5147.59,M3,20607.89,52,15512.3,20659.89
Job_076,5147.59,M4,20659.89,90,15602.3,20749.89
Job_076,5147.59,M7,20749.89,45,15647.3,20794.89
Job_075,5023.92,M0,19753.29,43,14772.37,19796.29
Job_075,5023.92,M2,19796.29,90,14862.37,19886.29
Job_075,5023.92,M4,20043.29,75,15094.37,20118.29
Job_075,5023.92,M9,20118.29,11,15105.37,20129.29
Job_075,5023.92,M3,20129.29,69,15174.37,20198.29
Job_075,5023.92,M1,20198.29,28,15202.37,20226.29
Job_075,5023.92,M6,20226.29,46,15248.37,20272.29
Job_075,5023.92,M5,20272.29,46,15294.37,20318.29
Job_075,5023.92,M7,20318.29,72,15366.37,20390.29
Job_075,5023.92,M8,20390.29,30,15396.37,20420.29
Job_074,4997.77,M1,19069.69,81,14152.919999999998,19150.69
Job_074,4997.77,M2,19150.69,95,14247.919999999998,19245.69
Job_074,4997.77,M0,19681.69,71,14754.919999999998,19752.69
Job_074,4997.77,M4,19752.69,99,14853.919999999998,19851.69
Job_074,4997.77,M6,19851.69,9,14862.919999999998,19860.69
Job_074,4997.77,M8,19860.69,52,14914.919999999998,19912.69
Job_074,4997.77,M7,19912.69,85,14999.919999999998,19997.69
Job_074,4997.77,M3,19997.69,98,15097.919999999998,20095.69
Job_074,4997.77,M9,20095.69,22,15119.919999999998,20117.69
Job_074,4997.77,M5,20117.69,43,15162.919999999998,20160.69
Job_073,4953.79,M1,18653.09,91,13790.3,18744.09
Job_073,4953.79,M0,18744.09,85,13875.3,18829.09
Job_073,4953.79,M3,19037.09,39,14122.3,19076.09
Job_073,4953.79,M2,19076.09,74,14196.3,19150.09
Job_073,4953.79,M8,19473.09,90,14609.3,19563.09
Job_073,4953.79,M5,19563.09,10,14619.3,19573.09
Job_073,4953.79,M7,19573.09,12,14631.3,19585.09
Job_073,4953.79,M6,19585.09,89,14720.3,19674.09
Job_073,4953.79,M9,19674.09,45,14765.3,19719.09
Job_073,4953.79,M4,19719.09,33,14798.3,19752.09
Job_072,4920.96,M0,18545.49,29,13653.530000000002,18574.49
Job_072,4920.96,M1,18574.49,78,13731.530000000002,18652.49
Job_072,4920.96,M2,18991.49,9,14079.530000000002,19000.49
Job_072,4920.96,M3,19000.49,36,14115.530000000002,19036.49
Job_072,4920.96,M4,19250.49,49,14378.530000000002,19299.49
Job_072,4920.96,M5,19299.49,11,14389.530000000002,19310.49
Job_072,4920.96,M6,19310.49,62,14451.530000000002,19372.49
Job_072,4920.96,M7,19372.49,56,14507.530000000002,19428.49
Job_072,4920.96,M8,19428.49,44,14551.530000000002,19472.49
Job_072,4920.96,M9,19472.49,21,14572.530000000002,19493.49
Job_071,4902.98,M1,18461.89,46,13604.91,18507.89
Job_071,4902.98,M0,18507.89,37,13641.91,18544.89
Job_071,4902.98,M3,18699.89,61,13857.91,18760.89
Job_071,4902.98,M2,18977.89,13,14087.91,18990.89
Job_071,4902.98,M6,18990.89,32,14119.91,19022.89
Job_071,4902.98,M5,19022.89,21,14140.91,19043.89
Job_071,4902.98,M9,19043.89,32,14172.91,19075.89
Job_071,4902.98,M8,19075.89,89,14261.91,19164.89
Job_071,4902.98,M7,19164.89,30,14291.91,19194.89
Job_071,4902.98,M4,19194.89,55,14346.91,19249.89
Job_070,4863.36,M0,18316.29,76,13528.93,18392.29
Job_070,4863.36,M1,18392.29,69,13597.93,18461.29
Job_070,4863.36,M3,18623.29,76,13835.93,18699.29
Job_070,4863.36,M5,18699.29,51,13886.93,18750.29
Job_070,4863.36,M2,18750.29,85,13971.93,18835.29
Job_070,4863.36,M9,18835.29,11,13982.93,18846.29
Job_070,4863.36,M6,18846.29,40,14022.93,18886.29
Job_070,4863.36,M7,18886.29,89,14111.93,18975.29
Job_070,4863.36,M4,18975.29,26,14137.93,19001.29
Job_070,4863.36,M8,19001.29,74,14211.93,19075.29
Job_069,4835.0,M1,18217.69,85,13467.689999999999,18302.69
Job_069,4835.0,M0,18302.69,13,13480.689999999999,18315.69
Job_069,4835.0,M2,18315.69,61,13541.689999999999,18376.69
Job_069,4835.0,M6,18376.69,7,13548.689999999999,18383.69
Job_069,4835.0,M8,18383.69,64,13612.689999999999,18447.69
Job_069,4835.0,M9,18447.69,76,13688.689999999999,18523.69
Job_069,4835.0,M5,18523.69,47,13735.689999999999,18570.69
Job_069,4835.0,M3,18570.69,52,13787.689999999999,18622.69
Job_069,4835.0,M4,18622.69,90,13877.689999999999,18712.69
Job_069,4835.0,M7,18712.69,45,13922.689999999999,18757.69
Job_068,4832.27,M0,17786.09,76,13029.82,17862.09
Job_068,4832.27,M1,17862.09,69,13098.82,17931.09
Job_068,4832.27,M3,17931.09,76,13174.82,18007.09
Job_068,4832.27,M5,18007.09,51,13225.82,18058.09
Job_068,4832.27,M2,18058.09,85,13310.82,18143.09
Job_068,4832.27,M9,18143.09,11,13321.82,18154.09
Job_068,4832.27,M6,18154.09,40,13361.82,18194.09
Job_068,4832.27,M7,18194.09,89,13450.82,18283.09
Job_068,4832.27,M4,18283.09,26,13476.82,18309.09
Job_068,4832.27,M8,18309.09,74,13550.82,18383.09
Job_067,4765.72,M2,17369.49,31,12634.77,17400.49
Job_067,4765.72,M0,17422.49,86,12742.77,17508.49
Job_067,4765.72,M1,17508.49,46,12788.77,17554.49
Job_067,4765.72,M5,17554.49,74,12862.77,17628.49
Job_067,4765.72,M4,17628.49,32,12894.77,17660.49
Job_067,4765.72,M6,17660.49,88,12982.77,17748.49
Job_067,4765.72,M8,17748.49,19,13001.77,17767.49
Job_067,4765.72,M9,17767.49,48,13049.77,17815.49
Job_067,4765.72,M7,17815.49,36,13085.77,17851.49
Job_067,4765.72,M3,17851.49,79,13164.77,17930.49
Job_066,4716.25,M1,16901.89,46,12231.64,16947.89
Job_066,4716.25,M0,17257.89,37,12578.64,17294.89
Job_066,4716.25,M3,17294.89,61,12639.64,17355.89
Job_066,4716.25,M2,17355.89,13,12652.64,17368.89
Job_066,4716.25,M6,17368.89,32,12684.64,17400.89
Job_066,4716.25,M5,17400.89,21,12705.64,17421.89
Job_066,4716.25,M9,17421.89,32,12737.64,17453.89
Job_066,4716.25,M8,17453.89,89,12826.64,17542.89
Job_066,4716.25,M7,17542.89,30,12856.64,17572.89
Job_066,4716.25,M4,17572.89,55,12911.64,17627.89
Job_065,4694.54,M2,16815.29,84,12204.75,16899.29
Job_065,4694.54,M1,16899.29,2,12206.75,16901.29
Job_065,4694.54,M5,16901.29,52,12258.75,16953.29
Job_065,4694.54,M3,16953.29,95,12353.75,17048.29
Job_065,4694.54,M8,17090.29,48,12443.75,17138.29
Job_065,4694.54,M9,17138.29,72,12515.75,17210.29
Job_065,4694.54,M0,17210.29,47,12562.75,17257.29
Job_065,4694.54,M6,17257.29,65,12627.75,17322.29
Job_065,4694.54,M4,17322.29,6,12633.75,17328.29
Job_065,4694.54,M7,17328.29,25,12658.75,17353.29
Job_064,4545.61,M2,16797.69,14,12266.079999999998,16811.69
Job_064,4545.61,M0,16811.69,6,12272.079999999998,16817.69
Job_064,4545.61,M1,16817.69,22,12294.079999999998,16839.69
Job_064,4545.61,M5,16839.69,61,12355.079999999998,16900.69
Job_064,4545.61,M3,16900.69,26,12381.079999999998,16926.69
Job_064,4545.61,M4,16926.69,69,12450.079999999998,16995.69
Job_064,4545.61,M8,16995.69,21,12471.079999999998,17016.69
Job_064,4545.61,M7,17016.69,49,12520.079999999998,17065.69
Job_064,4545.61,M9,17065.69,72,12592.079999999998,17137.69
Job_064,4545.61,M6,17137.69,53,12645.079999999998,17190.69
Job_063,4404.66,M1,15954.09,81,11630.43,16035.09
Job_063,4404.66,M2,16152.09,95,11842.43,16247.09
Job_063,4404.66,M0,16247.09,71,11913.43,16318.09
Job_063,4404.66,M4,16431.09,99,12125.43,16530.09
Job_063,4404.66,M6,16530.09,9,12134.43,16539.09
Job_063,4404.66,M8,16539.09,52,12186.43,16591.09
Job_063,4404.66,M7,16591.09,85,12271.43,16676.09
Job_063,4404.66,M3,16676.09,98,12369.43,16774.09
Job_063,4404.66,M9,16774.09,22,12391.43,16796.09
Job_063,4404.66,M5,16796.09,43,12434.43,16839.09
Job_062,4260.78,M1,15862.49,91,11692.71,15953.49
Job_062,4260.78,M0,15953.49,85,11777.71,16038.49
Job_062,4260.78,M3,16038.49,39,11816.71,16077.49
Job_062,4260.78,M2,16077.49,74,11890.71,16151.49
Job_062,4260.78,M8,16151.49,90,11980.71,16241.49
Job_062,4260.78,M5,16241.49,10,11990.71,16251.49
Job_062,4260.78,M7,16251.49,12,12002.71,16263.49
Job_062,4260.78,M6,16263.49,89,12091.71,16352.49
Job_062,4260.78,M9,16352.49,45,12136.710000000003,16397.49
Job_062,4260.78,M4,16397.49,33,12169.710000000003,16430.49
Job_061,4254.9,M0,14946.89,43,10734.99,14989.89
Job_061,4254.9,M2,15588.89,90,11423.99,15678.89
Job_061,4254.9,M4,15678.89,75,11498.99,15753.89
Job_061,4254.9,M9,15753.89,11,11509.99,15764.89
Job_061,4254.9,M3,15764.89,69,11578.99,15833.89
Job_061,4254.9,M1,15833.89,28,11606.99,15861.89
Job_061,4254.9,M6,15861.89,46,11652.99,15907.89
Job_061,4254.9,M5,15907.89,46,11698.99,15953.89
Job_061,4254.9,M7,15953.89,72,11770.99,16025.89
Job_061,4254.9,M8,16025.89,30,11800.99,16055.89
Job_060,4252.05,M0,14917.29,29,10694.240000000002,14946.29
Job_060,4252.05,M1,14963.29,78,10789.240000000002,15041.29
Job_060,4252.05,M2,15465.29,9,11222.240000000002,15474.29
Job_060,4252.05,M3,15474.29,36,11258.240000000002,15510.29
Job_060,4252.05,M4,15510.29,49,11307.240000000002,15559.29
Job_060,4252.05,M5,15559.29,11,11318.240000000002,15570.29
Job_060,4252.05,M6,15570.29,62,11380.240000000002,15632.29
Job_060,4252.05,M7,15632.29,56,11436.240000000002,15688.29
Job_060,4252.05,M8,15688.29,44,11480.240000000002,15732.29
Job_060,4252.05,M9,15732.29,21,11501.240000000002,15753.29
Job_059,4243.66,M2,14799.69,31,10587.03,14830.69
Job_059,4243.66,M0,14830.69,86,10673.03,14916.69
Job_059,4243.66,M1,14916.69,46,10719.03,14962.69
Job_059,4243.66,M5,14962.69,74,10793.03,15036.69
Job_059,4243.66,M4,15036.69,32,10825.03,15068.69
Job_059,4243.66,M6,15203.69,88,11048.03,15291.69
Job_059,4243.66,M8,15291.69,19,11067.03,15310.69
Job_059,4243.66,M9,15310.69,48,11115.03,15358.69
Job_059,4243.66,M7,15358.69,36,11151.03,15394.69
Job_059,4243.66,M3,15394.69,79,11230.03,15473.69
Job_058,4211.86,M2,14785.09,14,10587.23,14799.09
Job_058,4211.86,M0,14824.09,6,10618.23,14830.09
Job_058,4211.86,M1,14830.09,22,10640.23,14852.09
Job_058,4211.86,M5,14852.09,61,10701.23,14913.09
Job_058,4211.86,M3,14913.09,26,10727.23,14939.09
Job_058,4211.86,M4,14939.09,69,10796.23,15008.09
Job_058,4211.86,M8,15008.09,21,10817.23,15029.09
Job_058,4211.86,M7,15029.09,49,10866.23,15078.09
Job_058,4211.86,M9,15078.09,72,10938.23,15150.09
Job_058,4211.86,M6,15150.09,53,10991.23,15203.09
Job_057,4208.65,M2,14287.49,84,10162.84,14371.49
Job_057,4208.65,M1,14371.49,2,10164.84,14373.49
Job_057,4208.65,M5,14509.49,52,10352.84,14561.49
Job_057,4208.65,M3,14561.49,95,10447.84,14656.49
Job_057,4208.65,M8,14656.49,48,10495.84,14704.49
Job_057,4208.65,M9,14704.49,72,10567.84,14776.49
Job_057,4208.65,M0,14776.49,47,10614.84,14823.49
Job_057,4208.65,M6,14823.49,65,10679.84,14888.49
Job_057,4208.65,M4,14888.49,6,10685.84,14894.49
Job_057,4208.65,M7,14894.49,25,10710.84,14919.49
Job_056,4049.79,M1,14127.89,85,10163.099999999999,14212.89
Job_056,4049.79,M0,14212.89,13,10176.099999999999,14225.89
Job_056,4049.79,M2,14225.89,61,10237.099999999999,14286.89
Job_056,4049.79,M6,14314.89,7,10272.099999999999,14321.89
Job_056,4049.79,M8,14321.89,64,10336.099999999999,14385.89
Job_056,4049.79,M9,14385.89,76,10412.099999999999,14461.89
Job_056,4049.79,M5,14461.89,47,10459.099999999999,14508.89
Job_056,4049.79,M3,14508.89,52,10511.099999999999,14560.89
Job_056,4049.79,M4,14560.89,90,10601.099999999999,14650.89
Job_056,4049.79,M7,14650.89,45,10646.099999999999,14695.89
Job_055,3845.15,M0,13654.29,43,9852.140000000001,13697.29
Job_055,3845.15,M2,13697.29,90,9942.140000000001,13787.29
Job_055,3845.15,M4,13787.29,75,10017.140000000001,13862.29
Job_055,3845.15,M9,14019.29,11,10185.140000000001,14030.29
Job_055,3845.15,M3,14030.29,69,10254.140000000001,14099.29
Job_055,3845.15,M1,14099.29,28,10282.140000000001,14127.29
Job_055,3845.15,M6,14127.29,46,10328.140000000001,14173.29
Job_055,3845.15,M5,14173.29,46,10374.140000000001,14219.29
Job_055,3845.15,M7,14219.29,72,10446.140000000001,14291.29
Job_055,3845.15,M8,14291.29,30,10476.140000000001,14321.29
Job_054,3831.75,M1,12800.69,81,9049.94,12881.69
Job_054,3831.75,M2,13374.69,95,9637.94,13469.69
Job_054,3831.75,M0,13582.69,71,9821.94,13653.69
Job_054,3831.75,M4,13653.69,99,9920.94,13752.69
Job_054,3831.75,M6,13752.69,9,9929.94,13761.69
Job_054,3831.75,M8,13761.69,52,9981.94,13813.69
Job_054,3831.75,M7,13813.69,85,10066.94,13898.69
Job_054,3831.75,M3,13898.69,98,10164.94,13996.69
Job_054,3831.75,M9,13996.69,22,10186.94,14018.69
Job_054,3831.75,M5,14018.69,43,10229.94,14061.69
Job_053,3781.34,M1,12709.09,91,9018.75,12800.09
Job_053,3781.34,M0,12800.09,85,9103.75,12885.09
Job_053,3781.34,M3,13152.09,39,9409.75,13191.09
Job_053,3781.34,M2,13300.09,74,9592.75,13374.09
Job_053,3781.34,M8,13374.09,90,9682.75,13464.09
Job_053,3781.34,M5,13464.09,10,9692.75,13474.09
Job_053,3781.34,M7,13474.09,12,9704.75,13486.09
Job_053,3781.34,M6,13486.09,89,9793.75,13575.09
Job_053,3781.34,M9,13575.09,45,9838.75,13620.09
Job_053,3781.34,M4,13620.09,33,9871.75,13653.09
Job_052,3669.51,M0,12601.49,29,8960.98,12630.49
Job_052,3669.51,M1,12630.49,78,9038.98,12708.49
Job_052,3669.51,M2,13106.49,9,9445.98,13115.49
Job_052,3669.51,M3,13115.49,36,9481.98,13151.49
Job_052,3669.51,M4,13151.49,49,9530.98,13200.49
Job_052,3669.51,M5,13200.49,11,9541.98,13211.49
Job_052,3669.51,M6,13211.49,62,9603.98,13273.49
Job_052,3669.51,M7,13273.49,56,9659.98,13329.49
Job_052,3669.51,M8,13329.49,44,9703.98,13373.49
Job_052,3669.51,M9,13373.49,21,9724.98,13394.49
Job_051,3629.75,M1,12517.89,46,8934.14,12563.89
Job_051,3629.75,M0,12563.89,37,8971.14,12600.89
Job_051,3629.75,M3,12600.89,61,9032.14,12661.89
Job_051,3629.75,M2,12736.89,13,9120.14,12749.89
Job_051,3629.75,M6,12787.89,32,9190.14,12819.89
Job_051,3629.75,M5,12819.89,21,9211.14,12840.89
Job_051,3629.75,M9,12840.89,32,9243.14,12872.89
Job_051,3629.75,M8,12976.89,89,9436.14,13065.89
Job_051,3629.75,M7,13065.89,30,9466.14,13095.89
Job_051,3629.75,M4,13095.89,55,9521.14,13150.89
Job_050,3406.64,M0,12217.29,76,8886.650000000001,12293.29
Job_050,3406.64,M1,12293.29,69,8955.650000000001,12362.29
Job_050,3406.64,M3,12524.29,76,9193.650000000001,12600.29
Job_050,3406.64,M5,12600.29,51,9244.650000000001,12651.29
Job_050,3406.64,M2,12651.29,85,9329.650000000001,12736.29
Job_050,3406.64,M9,12736.29,11,9340.650000000001,12747.29
Job_050,3406.64,M6,12747.29,40,9380.650000000001,12787.29
Job_050,3406.64,M7,12787.29,89,9469.650000000001,12876.29
Job_050,3406.64,M4,12876.29,26,9495.650000000001,12902.29
Job_050,3406.64,M8,12902.29,74,9569.650000000001,12976.29
Job_049,3353.55,M1,12118.69,85,8850.14,12203.69
Job_049,3353.55,M0,12203.69,13,8863.14,12216.69
Job_049,3353.55,M2,12216.69,61,8924.14,12277.69
Job_049,3353.55,M6,12277.69,7,8931.14,12284.69
Job_049,3353.55,M8,12284.69,64,8995.14,12348.69
Job_049,3353.55,M9,12348.69,76,9071.14,12424.69
Job_049,3353.55,M5,12424.69,47,9118.14,12471.69
Job_049,3353.55,M3,12471.69,52,9170.14,12523.69
