Job,Arrival,Machine,Start,Processing Time,Flow time,End
Job_000,0.0,M0,0.0,32.08,32.08,32.08
Job_000,0.0,M1,32.08,95.2,127.28,127.28
Job_001,84.93,M0,84.93,54.83,54.829999999999984,139.76
Job_000,0.0,M2,127.28,9.03,136.31,136.31
Job_002,106.18,M1,127.28,88.01,109.10999999999999,215.29
Job_000,0.0,M3,136.31,41.23,177.54,177.54
Job_001,84.93,M2,139.76,135.08,189.90999999999997,274.84
Job_000,0.0,M4,177.54,61.16,238.7,238.7
Job_003,148.31,M1,215.29,78.0,144.98000000000002,293.29
Job_002,106.18,M0,215.29,62.21,171.32,277.5
Job_000,0.0,M5,238.7,10.86,249.56,249.56
Job_000,0.0,M6,249.56,55.14,304.7,304.7
Job_004,185.08,M2,274.84,9.91,99.66999999999999,284.75
Job_001,84.93,M4,274.84,84.04,273.95,358.88
Job_002,106.18,M3,283.06,30.69,207.57,313.75
Job_004,185.08,M0,284.75,4.29,103.96000000000001,289.04
Job_004,185.08,M1,293.29,18.21,126.41999999999999,311.5
Job_000,0.0,M7,304.7,85.23,389.93,389.93
Job_004,185.08,M5,311.5,60.55,186.97,372.05
Job_006,312.71,M1,312.71,33.56,33.56,346.27
Job_002,106.18,M2,322.06,70.18,286.06,392.24
Job_008,344.3,M0,344.3,51.86,51.860000000000014,396.16
Job_001,84.93,M9,358.88,13.32,287.27,372.2
Job_001,84.93,M3,372.2,84.4,371.67,456.6
Job_000,0.0,M8,389.93,66.34,456.27,456.27
Job_005,251.37,M2,396.12,93.24,237.99,489.36
Job_008,344.3,M1,420.3,60.66,136.65999999999997,480.96
Job_006,312.71,M0,420.36,46.48,154.13,466.84
Job_000,0.0,M9,456.27,16.44,472.71,472.71
Job_002,106.18,M8,456.27,81.43,431.52000000000004,537.7
Job_004,185.08,M3,456.6,28.65,300.16999999999996,485.25
Job_010,473.82,M0,473.82,88.38,88.38000000000005,562.2
Job_001,84.93,M1,480.96,41.96,437.98999999999995,522.92
Job_006,312.71,M3,485.25,54.17,226.70999999999998,539.42
Job_004,185.08,M4,485.25,79.02,379.18999999999994,564.27
Job_003,148.31,M2,489.36,72.83,413.88000000000005,562.19
Job_005,251.37,M1,522.92,2.19,273.74,525.11
Job_001,84.93,M6,522.92,41.99,479.97999999999996,564.91
Job_009,429.2,M1,525.11,53.27,149.18,578.38
Job_005,251.37,M5,525.11,38.59,312.33000000000004,563.7
Job_008,344.3,M3,539.42,141.07,336.19,680.49
Job_002,106.18,M5,563.7,9.86,467.37999999999994,573.56
Job_002,106.18,M7,573.56,17.53,484.91,591.09
Job_001,84.93,M5,573.56,39.15,527.78,612.71
Job_006,312.71,M2,575.24,11.78,274.31,587.02
Job_009,429.2,M0,578.38,15.17,164.34999999999997,593.55
