Job,Arrival,Deadline,Machine,Start,Processing Time,End,Tardiness
Job_039,2264.94,5405.317753588721,M2,3424.93,31,3455.93,0.002246411278974847
Job_039,2264.94,5405.317753588721,M0,4152.72,86,4238.72,0.002246411278974847
Job_039,2264.94,5405.317753588721,M1,4266.72,46,4312.72,0.002246411278974847
Job_039,2264.94,5405.317753588721,M5,4327.72,74,4401.72,0.002246411278974847
Job_039,2264.94,5405.317753588721,M4,4422.72,32,4454.72,0.002246411278974847
Job_039,2264.94,5405.317753588721,M6,4617.72,88,4705.72,0.002246411278974847
Job_039,2264.94,5405.317753588721,M8,4705.72,19,4724.72,0.002246411278974847
Job_039,2264.94,5405.317753588721,M9,4724.72,48,4772.72,0.002246411278974847
Job_039,2264.94,5405.317753588721,M7,4772.72,36,4808.72,0.002246411278974847
Job_039,2264.94,5405.317753588721,M3,5326.32,79,5405.32,0.002246411278974847
Job_038,2263.8,4553.537397329067,M2,3233.93,14,3247.93,64.18260267093319
Job_038,2263.8,4553.537397329067,M0,4238.72,6,4244.72,64.18260267093319
Job_038,2263.8,4553.537397329067,M1,4244.72,22,4266.72,64.18260267093319
Job_038,2263.8,4553.537397329067,M5,4266.72,61,4327.72,64.18260267093319
Job_038,2263.8,4553.537397329067,M3,4327.72,26,4353.72,64.18260267093319
Job_038,2263.8,4553.537397329067,M4,4353.72,69,4422.72,64.18260267093319
Job_038,2263.8,4553.537397329067,M8,4422.72,21,4443.72,64.18260267093319
Job_038,2263.8,4553.537397329067,M7,4443.72,49,4492.72,64.18260267093319
Job_038,2263.8,4553.537397329067,M9,4492.72,72,4564.72,64.18260267093319
Job_038,2263.8,4553.537397329067,M6,4564.72,53,4617.72,64.18260267093319
Job_037,2255.7,5145.546689758822,M2,2718.93,84,2802.93,0.0
Job_037,2255.7,5145.546689758822,M1,2802.93,2,2804.93,0.0
Job_037,2255.7,5145.546689758822,M5,3801.93,52,3853.93,0.0
Job_037,2255.7,5145.546689758822,M3,3853.93,95,3948.93,0.0
Job_037,2255.7,5145.546689758822,M8,3948.93,48,3996.93,0.0
Job_037,2255.7,5145.546689758822,M9,3996.93,72,4068.93,0.0
Job_037,2255.7,5145.546689758822,M0,4105.72,47,4152.72,0.0
