Job,Arrival,Machine,Start,Processing Time,Flow time,End
Job_114,7090.59,M1,9353.2,91,2353.6100000000006,9444.2
Job_114,7090.59,M0,9619.2,85,2613.6100000000006,9704.2
Job_114,7090.59,M3,9704.2,39,2652.6100000000006,9743.2
Job_114,7090.59,M2,9743.2,74,2726.6100000000006,9817.2
Job_114,7090.59,M8,9817.2,90,2816.6100000000006,9907.2
Job_114,7090.59,M5,9907.2,10,2826.6100000000006,9917.2
Job_114,7090.59,M7,9917.2,12,2838.6100000000006,9929.2
Job_114,7090.59,M6,9929.2,89,2927.6100000000006,10018.2
Job_114,7090.59,M9,10018.2,45,2972.6100000000006,10063.2
Job_114,7090.59,M4,10063.2,33,3005.6100000000006,10096.2
Job_113,6990.12,M0,9258.2,43,2311.080000000001,9301.2
Job_113,6990.12,M2,9301.2,90,2401.080000000001,9391.2
Job_113,6990.12,M4,9416.8,75,2501.6799999999994,9491.8
Job_113,6990.12,M9,9594.8,11,2615.6799999999994,9605.8
Job_113,6990.12,M3,9605.8,69,2684.6799999999994,9674.8
Job_113,6990.12,M1,9674.8,28,2712.6799999999994,9702.8
Job_113,6990.12,M6,9702.8,46,2758.6799999999994,9748.8
Job_113,6990.12,M5,9748.8,46,2804.6799999999994,9794.8
Job_113,6990.12,M7,9794.8,72,2876.6799999999994,9866.8
Job_113,6990.12,M8,9907.8,30,2947.6799999999994,9937.8
Job_112,6941.64,M0,9228.6,29,2315.96,9257.6
Job_112,6941.64,M1,9274.6,78,2410.96,9352.6
Job_112,6941.64,M2,9391.8,9,2459.159999999999,9400.8
Job_112,6941.64,M3,9400.8,36,2495.159999999999,9436.8
Job_112,6941.64,M4,9492.4,49,2599.7599999999993,9541.4
Job_112,6941.64,M5,9541.4,11,2610.7599999999993,9552.4
Job_112,6941.64,M6,9558.4,62,2678.7599999999993,9620.4
Job_112,6941.64,M7,9620.4,56,2734.7599999999993,9676.4
Job_112,6941.64,M8,9676.4,44,2778.7599999999993,9720.4
Job_112,6941.64,M9,9720.4,21,2799.7599999999993,9741.4
Job_111,6787.0,M2,9111.0,31,2355.0,9142.0
Job_111,6787.0,M0,9142.0,86,2441.0,9228.0
Job_111,6787.0,M1,9228.0,46,2487.0,9274.0
Job_111,6787.0,M5,9274.0,74,2561.0,9348.0
Job_111,6787.0,M4,9384.2,32,2629.2000000000007,9416.2
Job_111,6787.0,M6,9416.2,88,2717.2000000000007,9504.2
