Job,Arrival,Deadline,Machine,Start,Processing Time,End,Tardiness
Job_091,5650.59,9027.222817692682,M1,17546.5,91,17637.5,9087.277182307318
Job_091,5650.59,9027.222817692682,M0,17637.5,85,17722.5,9087.277182307318
Job_091,5650.59,9027.222817692682,M3,17722.5,39,17761.5,9087.277182307318
Job_091,5650.59,9027.222817692682,M2,17761.5,74,17835.5,9087.277182307318
Job_091,5650.59,9027.222817692682,M8,17835.5,90,17925.5,9087.277182307318
Job_091,5650.59,9027.222817692682,M5,17925.5,10,17935.5,9087.277182307318
Job_091,5650.59,9027.222817692682,M7,17935.5,12,17947.5,9087.277182307318
Job_091,5650.59,9027.222817692682,M6,17947.5,89,18036.5,9087.277182307318
Job_091,5650.59,9027.222817692682,M9,18036.5,45,18081.5,9087.277182307318
Job_091,5650.59,9027.222817692682,M4,18081.5,33,18114.5,9087.277182307318
Job_090,5550.12,8581.955804618428,M0,16274.3,43,16317.3,9157.944195381573
Job_090,5550.12,8581.955804618428,M2,16317.3,90,16407.3,9157.944195381573
Job_090,5550.12,8581.955804618428,M4,17007.3,75,17082.3,9157.944195381573
Job_090,5550.12,8581.955804618428,M9,17437.9,11,17448.9,9157.944195381573
Job_090,5550.12,8581.955804618428,M3,17448.9,69,17517.9,9157.944195381573
Job_090,5550.12,8581.955804618428,M1,17517.9,28,17545.9,9157.944195381573
Job_090,5550.12,8581.955804618428,M6,17545.9,46,17591.9,9157.944195381573
Job_090,5550.12,8581.955804618428,M5,17591.9,46,17637.9,9157.944195381573
Job_090,5550.12,8581.955804618428,M7,17637.9,72,17709.9,9157.944195381573
Job_090,5550.12,8581.955804618428,M8,17709.9,30,17739.9,9157.944195381573
Job_089,5501.64,7849.826554557411,M0,16200.7,29,16229.7,9587.473445442589
Job_089,5501.64,7849.826554557411,M1,16229.7,78,16307.7,9587.473445442589
Job_089,5501.64,7849.826554557411,M2,16307.7,9,16316.7,9587.473445442589
Job_089,5501.64,7849.826554557411,M3,16921.7,36,16957.7,9587.473445442589
Job_089,5501.64,7849.826554557411,M4,16957.7,49,17006.7,9587.473445442589
Job_089,5501.64,7849.826554557411,M5,17006.7,11,17017.7,9587.473445442589
Job_089,5501.64,7849.826554557411,M6,17213.3,62,17275.3,9587.473445442589
Job_089,5501.64,7849.826554557411,M7,17316.3,56,17372.3,9587.473445442589
Job_089,5501.64,7849.826554557411,M8,17372.3,44,17416.3,9587.473445442589
Job_089,5501.64,7849.826554557411,M9,17416.3,21,17437.3,9587.473445442589
Job_088,5347.0,8551.234311155556,M2,15682.3,31,15713.3,8843.465688844444
Job_088,5347.0,8551.234311155556,M0,16097.1,86,16183.1,8843.465688844444
Job_088,5347.0,8551.234311155556,M1,16183.1,46,16229.1,8843.465688844444
Job_088,5347.0,8551.234311155556,M5,16697.3,74,16771.3,8843.465688844444
Job_088,5347.0,8551.234311155556,M4,16925.1,32,16957.1,8843.465688844444
Job_088,5347.0,8551.234311155556,M6,17124.7,88,17212.7,8843.465688844444
Job_088,5347.0,8551.234311155556,M8,17212.7,19,17231.7,8843.465688844444
Job_088,5347.0,8551.234311155556,M9,17231.7,48,17279.7,8843.465688844444
Job_088,5347.0,8551.234311155556,M7,17279.7,36,17315.7,8843.465688844444
Job_088,5347.0,8551.234311155556,M3,17315.7,79,17394.7,8843.465688844444
Job_087,5189.15,7525.447002382436,M2,15667.7,14,15681.7,9598.652997617563
Job_087,5189.15,7525.447002382436,M0,16090.5,6,16096.5,9598.652997617563
Job_087,5189.15,7525.447002382436,M1,16160.5,22,16182.5,9598.652997617563
Job_087,5189.15,7525.447002382436,M5,16635.7,61,16696.7,9598.652997617563
Job_087,5189.15,7525.447002382436,M3,16696.7,26,16722.7,9598.652997617563
Job_087,5189.15,7525.447002382436,M4,16722.7,69,16791.7,9598.652997617563
Job_087,5189.15,7525.447002382436,M8,16791.7,21,16812.7,9598.652997617563
Job_087,5189.15,7525.447002382436,M7,16950.1,49,16999.1,9598.652997617563
Job_087,5189.15,7525.447002382436,M9,16999.1,72,17071.1,9598.652997617563
Job_087,5189.15,7525.447002382436,M6,17071.1,53,17124.1,9598.652997617563
Job_086,5118.47,8067.07893939361,M2,15583.1,84,15667.1,8882.42106060639
Job_086,5118.47,8067.07893939361,M1,16157.9,2,16159.9,8882.42106060639
Job_086,5118.47,8067.07893939361,M5,16539.5,52,16591.5,8882.42106060639
Job_086,5118.47,8067.07893939361,M3,16591.5,95,16686.5,8882.42106060639
Job_086,5118.47,8067.07893939361,M8,16686.5,48,16734.5,8882.42106060639
