Job,Operation,Arrival,Deadline,Machine,Start,Processing Time,End,Tardiness
Job_000,0,0.0,1559.4635211728746,M0,566.63,29.0,595.63,0.0
Job_000,1,0.0,1559.4635211728746,M1,595.63,78.0,673.63,0.0
Job_000,2,0.0,1559.4635211728746,M2,1211.28,9.0,1220.28,0.0
Job_000,3,0.0,1559.4635211728746,M3,1220.28,36.0,1256.28,0.0
Job_000,4,0.0,1559.4635211728746,M4,1256.28,49.0,1305.28,0.0
Job_000,5,0.0,1559.4635211728746,M5,1305.28,11.0,1316.28,0.0
Job_000,6,0.0,1559.4635211728746,M6,1316.28,62.0,1378.28,0.0
Job_000,7,0.0,1559.4635211728746,M7,1378.28,56.0,1434.28,0.0
Job_000,8,0.0,1559.4635211728746,M8,1434.28,44.0,1478.28,0.0
Job_000,9,0.0,1559.4635211728746,M9,1478.28,21.0,1499.28,0.0
Job_001,0,88.05,2101.534546324471,M0,1498.0,43.0,1541.0,0.0
Job_001,1,88.05,2101.534546324471,M2,1541.0,90.0,1631.0,0.0
Job_001,2,88.05,2101.534546324471,M4,1631.0,75.0,1706.0,0.0
Job_001,3,88.05,2101.534546324471,M9,1706.0,11.0,1717.0,0.0
Job_001,4,88.05,2101.534546324471,M3,1745.61,69.0,1814.61,0.0
Job_001,5,88.05,2101.534546324471,M1,2317.61,28.0,2345.61,244.08
Job_001,6,88.05,2101.534546324471,M6,2345.61,46.0,2391.61,290.08
Job_001,7,88.05,2101.534546324471,M5,2391.61,46.0,2437.61,336.08
Job_001,8,88.05,2101.534546324471,M7,2437.61,72.0,2509.61,408.08
Job_001,9,88.05,2101.534546324471,M8,2512.61,30.0,2542.61,441.08
Job_002,0,152.78,2395.2490633574503,M1,1921.61,91.0,2012.61,0.0
Job_002,1,152.78,2395.2490633574503,M0,2401.61,85.0,2486.61,91.36
Job_002,2,152.78,2395.2490633574503,M3,2486.61,39.0,2525.61,130.36
Job_002,3,152.78,2395.2490633574503,M2,2525.61,74.0,2599.61,204.36
Job_002,4,152.78,2395.2490633574503,M8,2816.61,90.0,2906.61,511.36
Job_002,5,152.78,2395.2490633574503,M5,2906.61,10.0,2916.61,521.36
Job_002,6,152.78,2395.2490633574503,M7,2926.61,12.0,2938.61,543.36
Job_002,7,152.78,2395.2490633574503,M6,2938.61,89.0,3027.61,632.36
Job_002,8,152.78,2395.2490633574503,M9,3046.61,45.0,3091.61,696.36
Job_002,9,152.78,2395.2490633574503,M4,3091.61,33.0,3124.61,729.36
Job_003,0,207.97,2793.9158389069185,M1,2345.61,81.0,2426.61,0.0
Job_003,1,207.97,2793.9158389069185,M2,2426.61,95.0,2521.61,0.0
Job_003,2,207.97,2793.9158389069185,M0,2585.61,71.0,2656.61,0.0
Job_003,3,207.97,2793.9158389069185,M4,2656.61,99.0,2755.61,0.0
Job_003,4,207.97,2793.9158389069185,M6,2755.61,9.0,2764.61,0.0
Job_003,5,207.97,2793.9158389069185,M8,2764.61,52.0,2816.61,22.69
