Job,Operation,Arrival,Deadline,Machine,Start,Processing Time,End,Tardiness
Job_000,0,0.0,1559.4635211728746,M0,266.61,29.0,295.61,0.0
Job_000,1,0.0,1559.4635211728746,M1,427.74,78.0,505.74,0.0
Job_000,2,0.0,1559.4635211728746,M2,516.74,9.0,525.74,0.0
Job_000,3,0.0,1559.4635211728746,M3,525.74,36.0,561.74,0.0
Job_000,4,0.0,1559.4635211728746,M4,561.74,49.0,610.74,0.0
Job_000,5,0.0,1559.4635211728746,M5,610.74,11.0,621.74,0.0
Job_000,6,0.0,1559.4635211728746,M6,621.74,62.0,683.74,0.0
Job_000,7,0.0,1559.4635211728746,M7,683.74,56.0,739.74,0.0
Job_000,8,0.0,1559.4635211728746,M8,739.74,44.0,783.74,0.0
Job_000,9,0.0,1559.4635211728746,M9,925.74,21.0,946.74,0.0
Job_001,0,88.05,2101.534546324471,M0,1469.0,43.0,1512.0,0.0
Job_001,1,88.05,2101.534546324471,M2,1512.0,90.0,1602.0,0.0
Job_001,2,88.05,2101.534546324471,M4,1602.0,75.0,1677.0,0.0
Job_001,3,88.05,2101.534546324471,M9,1677.0,11.0,1688.0,0.0
Job_001,4,88.05,2101.534546324471,M3,1688.0,69.0,1757.0,0.0
Job_001,5,88.05,2101.534546324471,M1,1928.74,28.0,1956.74,0.0
Job_001,6,88.05,2101.534546324471,M6,1956.74,46.0,2002.74,0.0
Job_001,7,88.05,2101.534546324471,M5,2002.74,46.0,2048.74,0.0
Job_001,8,88.05,2101.534546324471,M7,2048.74,72.0,2120.74,19.21
Job_001,9,88.05,2101.534546324471,M8,2123.74,30.0,2153.74,52.21
Job_002,0,152.78,2395.2490633574503,M1,505.74,91.0,596.74,0.0
Job_002,1,152.78,2395.2490633574503,M0,1882.74,85.0,1967.74,0.0
Job_002,2,152.78,2395.2490633574503,M3,2075.74,39.0,2114.74,0.0
Job_002,3,152.78,2395.2490633574503,M2,2114.74,74.0,2188.74,0.0
Job_002,4,152.78,2395.2490633574503,M8,2188.74,90.0,2278.74,0.0
Job_002,5,152.78,2395.2490633574503,M5,2324.74,10.0,2334.74,0.0
Job_002,6,152.78,2395.2490633574503,M7,2334.74,12.0,2346.74,0.0
Job_002,7,152.78,2395.2490633574503,M6,2346.74,89.0,2435.74,40.49
Job_002,8,152.78,2395.2490633574503,M9,2723.74,45.0,2768.74,373.49
Job_002,9,152.78,2395.2490633574503,M4,2768.74,33.0,2801.74,406.49
Job_003,0,207.97,2793.9158389069185,M1,2223.74,81.0,2304.74,0.0
Job_003,1,207.97,2793.9158389069185,M2,2514.74,95.0,2609.74,0.0
Job_003,2,207.97,2793.9158389069185,M0,2609.74,71.0,2680.74,0.0
Job_003,3,207.97,2793.9158389069185,M4,2801.74,99.0,2900.74,106.82
Job_003,4,207.97,2793.9158389069185,M6,2900.74,9.0,2909.74,115.82
Job_003,5,207.97,2793.9158389069185,M8,2909.74,52.0,2961.74,167.82
Job_003,6,207.97,2793.9158389069185,M7,2961.74,85.0,3046.74,252.82
Job_003,7,207.97,2793.9158389069185,M3,3046.74,98.0,3144.74,350.82
Job_003,8,207.97,2793.9158389069185,M9,3144.74,22.0,3166.74,372.82
Job_003,9,207.97,2793.9158389069185,M5,3213.74,43.0,3256.74,462.82
Job_004,0,246.61,1798.1775033441513,M2,246.61,14.0,260.61,0.0
Job_004,1,246.61,1798.1775033441513,M0,260.61,6.0,266.61,0.0
Job_004,2,246.61,1798.1775033441513,M1,405.74,22.0,427.74,0.0
Job_004,3,246.61,1798.1775033441513,M5,427.74,61.0,488.74,0.0
Job_004,4,246.61,1798.1775033441513,M3,561.74,26.0,587.74,0.0
Job_004,5,246.61,1798.1775033441513,M4,610.74,69.0,679.74,0.0
Job_004,6,246.61,1798.1775033441513,M8,783.74,21.0,804.74,0.0
Job_004,7,246.61,1798.1775033441513,M7,804.74,49.0,853.74,0.0
Job_004,8,246.61,1798.1775033441513,M9,853.74,72.0,925.74,0.0
Job_004,9,246.61,1798.1775033441513,M6,925.74,53.0,978.74,0.0
Job_005,0,319.39,2277.602421523407,M2,525.74,84.0,609.74,0.0
Job_005,1,319.39,2277.602421523407,M1,609.74,2.0,611.74,0.0
Job_005,2,319.39,2277.602421523407,M5,642.74,52.0,694.74,0.0
Job_005,3,319.39,2277.602421523407,M3,694.74,95.0,789.74,0.0
Job_005,4,319.39,2277.602421523407,M8,1067.74,48.0,1115.74,0.0
Job_005,5,319.39,2277.602421523407,M9,1688.0,72.0,1760.0,0.0
Job_005,6,319.39,2277.602421523407,M0,2045.74,47.0,2092.74,0.0
Job_005,7,319.39,2277.602421523407,M6,2092.74,65.0,2157.74,0.0
Job_005,8,319.39,2277.602421523407,M4,2494.74,6.0,2500.74,223.14
Job_005,9,319.39,2277.602421523407,M7,2500.74,25.0,2525.74,248.14
Job_006,0,359.74,2002.1117083744705,M1,359.74,46.0,405.74,0.0
Job_006,1,359.74,2002.1117083744705,M0,405.74,37.0,442.74,0.0
Job_006,2,359.74,2002.1117083744705,M3,442.74,61.0,503.74,0.0
Job_006,3,359.74,2002.1117083744705,M2,503.74,13.0,516.74,0.0
Job_006,4,359.74,2002.1117083744705,M6,516.74,32.0,548.74,0.0
Job_006,5,359.74,2002.1117083744705,M5,621.74,21.0,642.74,0.0
Job_006,6,359.74,2002.1117083744705,M9,946.74,32.0,978.74,0.0
Job_006,7,359.74,2002.1117083744705,M8,978.74,89.0,1067.74,0.0
Job_006,8,359.74,2002.1117083744705,M7,1067.74,30.0,1097.74,0.0
Job_006,9,359.74,2002.1117083744705,M4,1677.0,55.0,1732.0,0.0
Job_007,0,515.63,2643.6068048409606,M2,2188.74,31.0,2219.74,0.0
Job_007,1,515.63,2643.6068048409606,M0,2219.74,86.0,2305.74,0.0
Job_007,2,515.63,2643.6068048409606,M1,2305.74,46.0,2351.74,0.0
Job_007,3,515.63,2643.6068048409606,M5,2351.74,74.0,2425.74,0.0
Job_007,4,515.63,2643.6068048409606,M4,2462.74,32.0,2494.74,0.0
Job_007,5,515.63,2643.6068048409606,M6,2504.74,88.0,2592.74,0.0
Job_007,6,515.63,2643.6068048409606,M8,2625.74,19.0,2644.74,1.13
Job_007,7,515.63,2643.6068048409606,M9,2768.74,48.0,2816.74,173.13
Job_007,8,515.63,2643.6068048409606,M7,2816.74,36.0,2852.74,209.13
Job_007,9,515.63,2643.6068048409606,M3,2852.74,79.0,2931.74,288.13
Job_008,0,748.04,3105.0013218739396,M0,2529.74,76.0,2605.74,0.0
Job_008,1,748.04,3105.0013218739396,M1,2666.74,69.0,2735.74,0.0
Job_008,2,748.04,3105.0013218739396,M3,2767.74,76.0,2843.74,0.0
Job_008,3,748.04,3105.0013218739396,M5,3059.74,51.0,3110.74,5.74
Job_008,4,748.04,3105.0013218739396,M2,3110.74,85.0,3195.74,90.74
Job_008,5,748.04,3105.0013218739396,M9,3421.74,11.0,3432.74,327.74
Job_008,6,748.04,3105.0013218739396,M6,3432.74,40.0,3472.74,367.74
Job_008,7,748.04,3105.0013218739396,M7,3472.74,89.0,3561.74,456.74
Job_008,8,748.04,3105.0013218739396,M4,3640.74,26.0,3666.74,561.74
Job_008,9,748.04,3105.0013218739396,M8,3666.74,74.0,3740.74,635.74
Job_009,0,781.95,2913.874813755322,M1,1956.74,85.0,2041.74,0.0
Job_009,1,781.95,2913.874813755322,M0,2305.74,13.0,2318.74,0.0
