Job,Operation,Arrival,Machine,Start,Processing Time,Flow time,End
job 5,0,83.59,M2,83.59,84,84.0,167.59
job 5,1,83.59,M1,167.59,2,86.0,169.59
job 5,2,83.59,M5,169.59,52,138.0,221.59
job 5,3,83.59,M3,221.59,95,233.0,316.59
job 5,4,83.59,M8,316.59,48,281.0,364.59
job 5,5,83.59,M9,364.59,72,353.0,436.59
job 5,6,83.59,M0,439.8,47,403.21,486.8
job 5,7,83.59,M6,486.8,65,468.21,551.8
job 5,8,83.59,M4,551.8,6,474.21,557.8
job 5,9,83.59,M7,557.8,25,499.21,582.8
job 8,0,107.22,M0,145.5,76,114.28,221.5
job 8,1,107.22,M1,221.5,69,183.28,290.5
job 8,2,107.22,M3,316.65,76,285.43,392.65
job 8,3,107.22,M5,392.65,51,336.43,443.65
job 8,4,107.22,M2,479.8,85,457.58,564.8
job 8,5,107.22,M9,564.8,11,468.58,575.8
job 8,6,107.22,M6,575.8,40,508.58,615.8
job 8,7,107.22,M7,615.8,89,597.58,704.8
job 8,8,107.22,M4,704.8,26,623.58,730.8
job 8,9,107.22,M8,1098.31,74,1065.09,1172.31
job 7,0,125.26,M2,167.65,31,73.39,198.65
job 7,1,125.26,M0,319.68,86,280.42,405.68
job 7,2,125.26,M1,405.68,46,326.42,451.68
job 7,3,125.26,M5,451.68,74,400.42,525.68
job 7,4,125.26,M4,557.86,32,464.6,589.86
job 7,5,125.26,M6,615.86,88,578.6,703.86
job 7,6,125.26,M8,703.86,19,597.6,722.86
job 7,7,125.26,M9,722.86,48,645.6,770.86
job 7,8,125.26,M7,770.86,36,681.6,806.86
job 7,9,125.26,M3,1104.19,79,1057.93,1183.19
job 0,0,181.45,M0,290.62,29,138.17,319.62
job 0,1,181.45,M1,451.74,78,348.29,529.74
job 0,2,181.45,M2,564.86,9,392.41,573.86
job 0,3,181.45,M3,573.86,36,428.41,609.86
job 0,4,181.45,M4,730.86,49,598.41,779.86
job 0,5,181.45,M5,779.86,11,609.41,790.86
job 0,6,181.45,M6,790.86,62,671.41,852.86
job 0,7,181.45,M7,852.86,56,727.41,908.86
job 0,8,181.45,M8,908.86,44,771.41,952.86
job 0,9,181.45,M9,952.86,21,792.41,973.86
job 4,0,270.56,M2,270.56,14,14.0,284.56
job 4,1,270.56,M0,284.56,6,20.0,290.56
job 4,2,270.56,M1,290.56,22,42.0,312.56
job 4,3,270.56,M5,698.92,61,489.36,759.92
job 4,4,270.56,M3,763.13,26,518.57,789.13
job 4,5,270.56,M4,789.13,69,587.57,858.13
job 4,6,270.56,M8,858.13,21,608.57,879.13
job 4,7,270.56,M7,908.92,49,687.36,957.92
job 4,8,270.56,M9,973.92,72,775.36,1045.92
job 4,9,270.56,M6,1208.49,53,990.93,1261.49
job 9,0,309.13,M1,312.62,85,88.49,397.62
job 9,1,309.13,M0,405.74,13,109.61,418.74
job 9,2,309.13,M2,418.74,61,170.61,479.74
job 9,3,309.13,M6,479.74,7,177.61,486.74
job 9,4,309.13,M8,486.74,64,241.61,550.74
job 9,5,309.13,M9,575.86,76,342.73,651.86
job 9,6,309.13,M5,651.86,47,389.73,698.86
job 9,7,309.13,M3,698.86,52,441.73,750.86
job 9,8,309.13,M4,1032.31,90,813.18,1122.31
job 9,9,309.13,M7,1291.43,45,1027.3,1336.43
job 3,0,586.13,M1,586.13,81,81.0,667.13
job 3,1,586.13,M2,667.13,95,176.0,762.13
job 3,2,586.13,M0,843.25,71,328.12,914.25
job 3,3,586.13,M4,933.25,99,446.12,1032.25
job 3,4,586.13,M6,1032.25,9,455.12,1041.25
job 3,5,586.13,M8,1046.25,52,512.12,1098.25
job 3,6,586.13,M7,1098.25,85,597.12,1183.25
job 3,7,586.13,M3,1183.25,98,695.12,1281.25
job 3,8,586.13,M9,1281.25,22,717.12,1303.25
job 3,9,586.13,M5,1303.25,43,760.12,1346.25
job 2,0,667.09,M1,667.19,91,91.1,758.19
job 2,1,667.09,M0,758.19,85,176.1,843.19
job 2,2,667.09,M3,843.19,39,215.1,882.19
job 2,3,667.09,M2,882.19,74,289.1,956.19
job 2,4,667.09,M8,956.19,90,379.1,1046.19
job 2,5,667.09,M5,1046.19,10,389.1,1056.19
job 2,6,667.09,M7,1056.19,12,401.1,1068.19
job 2,7,667.09,M6,1119.43,89,541.34,1208.43
job 2,8,667.09,M9,1208.43,45,586.34,1253.43
job 2,9,667.09,M4,1258.31,33,624.22,1291.31
job 1,0,713.06,M0,715.13,43,45.07,758.13
job 1,1,713.06,M2,762.19,90,139.13,852.19
job 1,2,713.06,M4,858.19,75,220.13,933.19
job 1,3,713.06,M9,933.19,11,231.13,944.19
job 1,4,713.06,M3,944.19,69,300.13,1013.19
job 1,5,713.06,M1,1013.31,28,328.25,1041.31
job 1,6,713.06,M6,1041.31,46,374.25,1087.31
job 1,7,713.06,M5,1140.43,46,473.37,1186.43
job 1,8,713.06,M7,1186.43,72,545.37,1258.43
job 1,9,713.06,M8,1316.37,30,633.31,1346.37
job 6,0,747.96,M1,758.25,46,56.29,804.25
job 6,1,747.96,M0,914.31,37,203.35,951.31
job 6,2,747.96,M3,1013.25,61,326.29,1074.25
job 6,3,747.96,M2,1074.37,13,339.41,1087.37
job 6,4,747.96,M6,1087.37,32,371.41,1119.37
job 6,5,747.96,M5,1119.37,21,392.41,1140.37
job 6,6,747.96,M9,1140.37,32,424.41,1172.37
job 6,7,747.96,M8,1172.37,89,513.41,1261.37
job 6,8,747.96,M7,1261.37,30,543.41,1291.37
job 6,9,747.96,M4,1291.37,55,598.41,1346.37
