Job,Operation,Arrival,Machine,Start,Processing Time,Flow time,End
Job_000,0,0.0,M0,0.0,29,29.0,29.0
Job_000,1,0.0,M1,29.0,78,107.0,107.0
Job_000,2,0.0,M2,107.0,9,116.0,116.0
Job_000,3,0.0,M3,116.0,36,152.0,152.0
Job_000,4,0.0,M4,152.0,49,201.0,201.0
Job_000,5,0.0,M5,201.0,11,212.0,212.0
Job_000,6,0.0,M6,212.0,62,274.0,274.0
Job_000,7,0.0,M7,274.0,56,330.0,330.0
Job_000,8,0.0,M8,330.0,44,374.0,374.0
Job_000,9,0.0,M9,374.0,21,395.0,395.0
Job_001,0,88.05,M0,88.05,43,43.0,131.05
Job_001,1,88.05,M2,131.05,90,133.0,221.05
Job_001,2,88.05,M4,221.05,75,208.0,296.05
Job_001,3,88.05,M9,296.05,11,219.0,307.05
Job_001,4,88.05,M3,375.61,69,356.56,444.61
Job_001,5,88.05,M1,444.61,28,384.56,472.61
Job_001,6,88.05,M6,472.61,46,430.56,518.61
Job_001,7,88.05,M5,518.61,46,476.56,564.61
Job_001,8,88.05,M7,564.61,72,548.56,636.61
Job_001,9,88.05,M8,762.39,30,704.34,792.39
Job_002,0,152.78,M1,152.78,91,91.0,243.78
Job_002,1,152.78,M0,266.61,85,198.83,351.61
Job_002,2,152.78,M3,444.61,39,330.83,483.61
Job_002,3,152.78,M2,498.39,74,419.61,572.39
Job_002,4,152.78,M8,572.39,90,509.61,662.39
Job_002,5,152.78,M5,669.39,10,526.61,679.39
Job_002,6,152.78,M7,679.39,12,538.61,691.39
Job_002,7,152.78,M6,710.39,89,646.61,799.39
Job_002,8,152.78,M9,799.39,45,691.61,844.39
Job_002,9,152.78,M4,844.39,33,724.61,877.39
Job_003,0,207.97,M1,288.61,81,161.64,369.61
Job_003,1,207.97,M2,403.39,95,290.42,498.39
Job_003,2,207.97,M0,498.39,71,361.42,569.39
Job_003,3,207.97,M4,569.39,99,460.42,668.39
Job_003,4,207.97,M6,701.39,9,502.42,710.39
Job_003,5,207.97,M8,710.39,52,554.42,762.39
Job_003,6,207.97,M7,762.39,85,639.42,847.39
Job_003,7,207.97,M3,847.39,98,737.42,945.39
Job_003,8,207.97,M9,945.39,22,759.42,967.39
Job_003,9,207.97,M5,967.39,43,802.42,1010.39
