Job,Operation,Arrival,Machine,Start,Processing Time,Flow time,End
Job_009,8,781.95,M4,1475.87,90.0,783.92,1565.87
Job_009,9,781.95,M7,1565.87,45.0,828.92,1610.87
Job_010,4,891.94,M4,1709.87,32.0,849.93,1741.87
Job_010,5,891.94,M6,1741.87,88.0,937.93,1829.87
Job_010,6,891.94,M8,1968.01,19.0,1095.07,1987.01
Job_010,7,891.94,M9,1987.01,48.0,1143.07,2035.01
Job_010,8,891.94,M7,2181.87,36.0,1325.93,2217.87
Job_010,9,891.94,M3,2217.87,79.0,1404.93,2296.87
Job_011,5,944.71,M9,1521.89,11.0,588.18,1532.89
Job_011,6,944.71,M6,1532.89,40.0,628.18,1572.89
Job_011,7,944.71,M7,1779.87,89.0,924.16,1868.87
Job_011,8,944.71,M4,1948.61,26.0,1029.9,1974.61
Job_011,9,944.71,M8,2037.87,74.0,1167.16,2111.87
Job_012,2,1003.56,M4,1565.87,75.0,637.31,1640.87
Job_012,3,1003.56,M9,1640.87,11.0,648.31,1651.87
Job_012,4,1003.56,M3,1651.87,69.0,717.31,1720.87
Job_012,5,1003.56,M1,1728.71,28.0,753.15,1756.71
Job_012,6,1003.56,M6,1829.87,46.0,872.31,1875.87
Job_012,7,1003.56,M5,1941.87,46.0,984.31,1987.87
Job_012,8,1003.56,M7,1993.87,72.0,1062.31,2065.87
Job_012,9,1003.56,M8,2132.87,30.0,1159.31,2162.87
Job_013,0,1185.73,M2,1521.89,84.0,420.16,1605.89
Job_013,1,1185.73,M1,1684.01,2.0,500.28,1686.01
Job_013,2,1185.73,M5,1686.01,52.0,552.28,1738.01
Job_013,3,1185.73,M3,1825.01,95.0,734.28,1920.01
Job_013,4,1185.73,M8,1920.01,48.0,782.28,1968.01
Job_013,5,1185.73,M9,2067.01,72.0,953.28,2139.01
Job_013,6,1185.73,M0,2163.61,47.0,1024.88,2210.61
Job_013,7,1185.73,M6,2210.61,65.0,1089.88,2275.61
Job_013,8,1185.73,M4,2316.01,6.0,1136.28,2322.01
Job_013,9,1185.73,M7,2322.01,25.0,1161.28,2347.01
Job_014,1,1190.89,M2,1997.61,95.0,901.72,2092.61
Job_014,2,1190.89,M0,2092.61,71.0,972.72,2163.61
Job_014,3,1190.89,M4,2217.01,99.0,1125.12,2316.01
Job_014,4,1190.89,M6,2328.61,9.0,1146.72,2337.61
Job_014,5,1190.89,M8,2406.87,52.0,1267.98,2458.87
Job_014,6,1190.89,M7,2458.87,85.0,1352.98,2543.87
Job_014,7,1190.89,M3,2543.87,98.0,1450.98,2641.87
Job_014,8,1190.89,M9,2641.87,22.0,1472.98,2663.87
Job_014,9,1190.89,M5,2708.61,43.0,1560.72,2751.61
Job_015,3,1197.28,M5,1482.3,61.0,346.02,1543.3
Job_015,4,1197.28,M3,1545.97,26.0,374.69,1571.97
Job_015,5,1197.28,M4,1640.87,69.0,512.59,1709.87
Job_015,6,1197.28,M8,1709.87,21.0,533.59,1730.87
Job_015,7,1197.28,M7,1730.87,49.0,582.59,1779.87
Job_015,8,1197.28,M9,1870.87,72.0,745.59,1942.87
Job_015,9,1197.28,M6,2026.87,53.0,882.59,2079.87
Job_016,2,1198.72,M3,1506.97,39.0,347.25,1545.97
Job_016,3,1198.72,M2,1709.61,74.0,584.89,1783.61
Job_016,4,1198.72,M8,1794.87,90.0,686.15,1884.87
Job_016,5,1198.72,M5,1884.87,10.0,696.15,1894.87
Job_016,6,1198.72,M7,1894.87,12.0,708.15,1906.87
Job_016,7,1198.72,M6,1937.87,89.0,828.15,2026.87
Job_016,8,1198.72,M9,2139.01,45.0,985.29,2184.01
Job_016,9,1198.72,M4,2184.01,33.0,1018.29,2217.01
Job_017,0,1324.04,M0,1706.61,29.0,411.57,1735.61
Job_017,1,1324.04,M1,1756.71,78.0,510.67,1834.71
Job_017,2,1324.04,M2,1873.61,9.0,558.57,1882.61
Job_017,3,1324.04,M3,1981.01,36.0,692.97,2017.01
Job_017,4,1324.04,M4,2043.61,49.0,768.57,2092.61
Job_017,5,1324.04,M5,2092.61,11.0,779.57,2103.61
Job_017,6,1324.04,M6,2103.61,62.0,841.57,2165.61
Job_017,7,1324.04,M7,2217.87,56.0,949.83,2273.87
Job_017,8,1324.04,M8,2273.87,44.0,993.83,2317.87
Job_017,9,1324.04,M9,2360.01,21.0,1056.97,2381.01
Job_018,0,1429.61,M1,1521.01,85.0,176.4,1606.01
Job_018,1,1429.61,M0,1606.01,13.0,189.4,1619.01
Job_018,2,1429.61,M2,1619.01,61.0,250.4,1680.01
Job_018,3,1429.61,M6,1680.01,7.0,257.4,1687.01
Job_018,4,1429.61,M8,1730.87,64.0,365.26,1794.87
Job_018,5,1429.61,M9,1794.87,76.0,441.26,1870.87
Job_018,6,1429.61,M5,1894.87,47.0,512.26,1941.87
Job_018,7,1429.61,M3,2017.01,52.0,639.4,2069.01
Job_018,8,1429.61,M4,2092.61,90.0,753.0,2182.61
Job_018,9,1429.61,M7,2273.87,45.0,889.26,2318.87
Job_019,0,1440.0,M0,1571.05,29.0,160.05,1600.05
Job_019,1,1440.0,M1,1606.01,78.0,244.01,1684.01
Job_019,2,1440.0,M2,1700.61,9.0,269.61,1709.61
Job_019,3,1440.0,M3,1720.87,36.0,316.87,1756.87
Job_019,4,1440.0,M4,1756.87,49.0,365.87,1805.87
Job_019,5,1440.0,M5,1805.87,11.0,376.87,1816.87
Job_019,6,1440.0,M6,1875.87,62.0,497.87,1937.87
Job_019,7,1440.0,M7,1937.87,56.0,553.87,1993.87
Job_019,8,1440.0,M8,1993.87,44.0,597.87,2037.87
Job_019,9,1440.0,M9,2046.01,21.0,627.01,2067.01
Job_020,0,1528.05,M0,1528.05,43.0,43.0,1571.05
Job_020,1,1528.05,M2,1783.61,90.0,345.56,1873.61
Job_020,2,1528.05,M4,1873.61,75.0,420.56,1948.61
Job_020,3,1528.05,M9,2035.01,11.0,517.96,2046.01
Job_020,4,1528.05,M3,2335.87,69.0,876.82,2404.87
Job_020,5,1528.05,M1,2440.61,28.0,940.56,2468.61
Job_020,6,1528.05,M6,2507.01,46.0,1024.96,2553.01
Job_020,7,1528.05,M5,2567.61,46.0,1085.56,2613.61
