Job,Operation,Arrival,Machine,Start,Processing Time,Flow time,End
Job_000,0,0.0,M0,0.0,64.66,64.66,64.66
Job_000,1,0.0,M1,64.66,102.48,167.14,167.14
Job_001,0,88.05,M0,88.05,40.18,40.17999999999999,128.23
Job_001,1,88.05,M2,131.05,45.6,88.60000000000001,176.65
Job_002,0,152.78,M1,167.14,114.63,128.98999999999998,281.77
Job_000,2,0.0,M2,176.65,9.37,186.02,186.02
Job_000,3,0.0,M3,186.02,12.8,198.82,198.82
Job_000,4,0.0,M4,198.82,54.09,252.91,252.91
Job_004,0,246.61,M2,246.61,7.19,7.189999999999998,253.8
Job_000,5,0.0,M5,252.91,9.89,262.8,262.8
Job_001,2,88.05,M4,252.91,103.42,268.28,356.33
Job_004,1,246.61,M0,260.61,6.31,20.310000000000002,266.92
Job_000,6,0.0,M6,262.8,100.15,362.95,362.95
Job_002,1,152.78,M0,281.77,50.44,179.42999999999998,332.21
Job_004,2,246.61,M1,281.77,40.64,75.80000000000001,322.41
Job_005,0,319.39,M2,319.39,103.12,103.12,422.51
Job_004,3,246.61,M5,322.41,98.88,174.68,421.29
Job_003,0,207.97,M1,322.41,67.63,182.07000000000002,390.04
Job_001,3,88.05,M9,356.33,17.11,285.39,373.44
Job_000,7,0.0,M7,362.95,69.22,432.17,432.17
Job_002,2,152.78,M3,375.61,31.66,254.48999999999998,407.27
Job_006,0,359.74,M1,390.04,79.03,109.32999999999998,469.07
Job_001,4,88.05,M3,414.61,82.85,409.40999999999997,497.46
Job_003,1,207.97,M2,422.51,94.12,308.65999999999997,516.63
Job_000,8,0.0,M8,432.17,30.22,462.39,462.39
Job_000,9,0.0,M9,462.39,33.95,496.34,496.34
Job_005,1,319.39,M1,469.07,1.69,151.37,470.76
Job_006,1,359.74,M0,469.07,28.22,137.55,497.29
Job_005,2,319.39,M5,470.76,76.14,227.51,546.9
Job_004,4,246.61,M3,497.46,33.74,284.59000000000003,531.2
Job_001,5,88.05,M1,497.46,14.77,424.18,512.23
Job_003,2,207.97,M0,516.63,58.47,367.13,575.1
Job_002,3,152.78,M2,516.63,52.85,416.70000000000005,569.48
Job_006,2,359.74,M3,531.2,76.56,248.01999999999998,607.76
Job_004,5,246.61,M4,531.2,89.13,373.72,620.33
Job_002,4,152.78,M8,572.39,172.3,591.9100000000001,744.69
Job_007,0,515.63,M2,572.39,28.33,85.09000000000003,600.72
Job_007,1,515.63,M0,603.39,165.44,253.20000000000005,768.83
Job_006,3,359.74,M2,607.76,8.64,256.65999999999997,616.4
Job_005,3,319.39,M3,607.76,67.01,355.38,674.77
Job_006,4,359.74,M6,616.4,36.77,293.42999999999995,653.17
Job_003,3,207.97,M4,620.33,58.4,470.76,678.73
Job_006,5,359.74,M5,653.17,17.95,311.38,671.12
Job_001,6,88.05,M6,653.17,38.68,603.8000000000001,691.85
Job_006,6,359.74,M9,671.12,15.83,327.21000000000004,686.95
Job_001,7,88.05,M5,694.39,42.96,649.3000000000001,737.35
