Job,Operation,Arrival,Machine,Start,Processing Time,Flow time,End
Job_027,7,2188.04,M7,2895.11,89.0,796.07,2984.11
Job_029,5,2331.94,M6,2895.11,88.0,651.17,2983.11
Job_038,0,2880.0,M0,2880.0,29.0,29.0,2909.0
Job_038,1,2880.0,M1,2909.0,78.0,107.0,2987.0
Job_038,2,2880.0,M2,2987.0,9.0,116.0,2996.0
Job_038,3,2880.0,M3,2996.0,36.0,152.0,3032.0
Job_038,4,2880.0,M4,3032.0,49.0,201.0,3081.0
Job_038,5,2880.0,M5,3081.0,11.0,212.0,3092.0
Job_038,6,2880.0,M6,3092.0,62.0,274.0,3154.0
Job_038,7,2880.0,M7,3154.0,56.0,330.0,3210.0
Job_038,8,2880.0,M8,3210.0,44.0,374.0,3254.0
Job_038,9,2880.0,M9,3254.0,21.0,395.0,3275.0
Job_039,0,2968.05,M0,2968.05,43.0,43.0,3011.05
Job_039,1,2968.05,M2,3011.05,90.0,133.0,3101.05
Job_039,2,2968.05,M4,3101.05,75.0,208.0,3176.05
Job_039,3,2968.05,M9,3176.05,11.0,219.0,3187.05
Job_039,4,2968.05,M3,3187.05,69.0,288.0,3256.05
Job_039,5,2968.05,M1,3285.74,28.0,345.69,3313.74
Job_039,6,2968.05,M6,3313.74,46.0,391.69,3359.74
Job_039,7,2968.05,M5,3359.74,46.0,437.69,3405.74
Job_039,8,2968.05,M7,3405.74,72.0,509.69,3477.74
Job_039,9,2968.05,M8,3484.78,30.0,546.73,3514.78
Job_040,0,3032.78,M1,3032.78,91.0,91.0,3123.78
Job_040,1,3032.78,M0,3146.61,85.0,198.83,3231.61
Job_040,2,3032.78,M3,3256.05,39.0,262.27,3295.05
Job_040,3,3032.78,M2,3299.78,74.0,341.0,3373.78
Job_040,4,3032.78,M8,3373.78,90.0,431.0,3463.78
Job_040,5,3032.78,M5,3463.78,10.0,441.0,3473.78
Job_040,6,3032.78,M7,3477.74,12.0,456.96,3489.74
Job_040,7,3032.78,M6,3501.74,89.0,557.96,3590.74
Job_040,8,3032.78,M9,3610.74,45.0,622.96,3655.74
Job_040,9,3032.78,M4,3655.74,33.0,655.96,3688.74
Job_041,0,3087.97,M1,3123.78,81.0,116.81,3204.78
Job_041,1,3087.97,M2,3204.78,95.0,211.81,3299.78
Job_041,2,3087.97,M0,3322.74,71.0,305.77,3393.74
Job_041,3,3087.97,M4,3393.74,99.0,404.77,3492.74
Job_041,4,3087.97,M6,3492.74,9.0,413.77,3501.74
Job_041,5,3087.97,M8,3514.78,52.0,478.81,3566.78
Job_041,6,3087.97,M7,3566.78,85.0,563.81,3651.78
Job_041,7,3087.97,M3,3651.78,98.0,661.81,3749.78
Job_041,8,3087.97,M9,3749.78,22.0,683.81,3771.78
Job_041,9,3087.97,M5,3771.78,43.0,726.81,3814.78
Job_042,0,3126.61,M2,3126.61,14.0,14.0,3140.61
Job_042,1,3126.61,M0,3140.61,6.0,20.0,3146.61
Job_042,2,3126.61,M1,3204.78,22.0,100.17,3226.78
Job_042,3,3126.61,M5,3226.78,61.0,161.17,3287.78
Job_042,4,3126.61,M3,3295.05,26.0,194.44,3321.05
Job_042,5,3126.61,M4,3321.05,69.0,263.44,3390.05
Job_042,6,3126.61,M8,3463.78,21.0,358.17,3484.78
Job_042,7,3126.61,M7,3489.74,49.0,412.13,3538.74
Job_042,8,3126.61,M9,3538.74,72.0,484.13,3610.74
Job_042,9,3126.61,M6,3610.74,53.0,537.13,3663.74
Job_043,0,3199.39,M2,3427.74,84.0,312.35,3511.74
Job_043,1,3199.39,M1,3511.74,2.0,314.35,3513.74
Job_043,2,3199.39,M5,3513.74,52.0,366.35,3565.74
