Job,Operation,Arrival,Machine,Start,Processing Time,Flow time,End
Job_008,8,748.04,M4,1522.25,26.0,800.21,1548.25
Job_008,9,748.04,M8,1553.65,74.0,879.61,1627.65
Job_009,8,781.95,M4,1548.25,90.0,856.3,1638.25
Job_009,9,781.95,M7,1638.25,45.0,901.3,1683.25
Job_010,5,891.94,M6,1446.65,88.0,642.71,1534.65
Job_010,6,891.94,M8,1534.65,19.0,661.71,1553.65
Job_010,7,891.94,M9,1553.65,48.0,709.71,1601.65
Job_011,4,944.71,M2,1520.65,85.0,660.94,1605.65
Job_011,5,944.71,M9,1605.65,11.0,671.94,1616.65
Job_011,6,944.71,M6,1616.65,40.0,711.94,1656.65
Job_013,1,1185.73,M1,1506.65,2.0,322.92,1508.65
Job_013,2,1185.73,M5,1508.65,52.0,374.92,1560.65
Job_015,0,1197.28,M2,1506.65,14.0,323.37,1520.65
Job_015,1,1197.28,M0,1528.3,6.0,337.02,1534.3
Job_015,2,1197.28,M1,1534.3,22.0,359.02,1556.3
Job_015,3,1197.28,M5,1560.65,61.0,424.37,1621.65
Job_015,4,1197.28,M3,1621.65,26.0,450.37,1647.65
Job_017,0,1324.04,M0,1563.3,29.0,268.26,1592.3
Job_019,0,1440.0,M0,1534.3,29.0,123.3,1563.3
Job_019,1,1440.0,M1,1563.3,78.0,201.3,1641.3
Job_019,2,1440.0,M2,1686.13,9.0,255.13,1695.13
Job_019,3,1440.0,M3,1727.25,36.0,323.25,1763.25
Job_019,4,1440.0,M4,1763.25,49.0,372.25,1812.25
Job_019,5,1440.0,M5,1812.25,11.0,383.25,1823.25
Job_019,6,1440.0,M6,1835.25,62.0,457.25,1897.25
Job_019,7,1440.0,M7,1942.43,56.0,558.43,1998.43
Job_019,8,1440.0,M8,2119.55,44.0,723.55,2163.55
Job_019,9,1440.0,M9,2163.55,21.0,744.55,2184.55
Job_020,0,1528.05,M0,1592.3,43.0,107.25,1635.3
Job_020,1,1528.05,M2,1695.19,90.0,257.14,1785.19
Job_020,2,1528.05,M4,1917.43,75.0,464.38,1992.43
Job_020,3,1528.05,M9,1992.43,11.0,475.38,2003.43
Job_020,4,1528.05,M3,2003.43,69.0,544.38,2072.43
Job_020,5,1528.05,M1,2072.43,28.0,572.38,2100.43
Job_020,6,1528.05,M6,2204.61,46.0,722.56,2250.61
Job_020,7,1528.05,M5,2359.73,46.0,877.68,2405.73
Job_020,8,1528.05,M7,2405.73,72.0,949.68,2477.73
Job_020,9,1528.05,M8,2519.85,30.0,1021.8,2549.85
Job_021,0,1592.78,M1,1798.43,91.0,296.65,1889.43
Job_021,1,1592.78,M0,1889.43,85.0,381.65,1974.43
Job_021,2,1592.78,M3,2257.67,39.0,703.89,2296.67
Job_021,3,1592.78,M2,2296.67,74.0,777.89,2370.67
Job_021,4,1592.78,M8,2381.73,90.0,878.95,2471.73
Job_021,5,1592.78,M5,2522.91,10.0,940.13,2532.91
Job_021,6,1592.78,M7,2532.91,12.0,952.13,2544.91
Job_021,7,1592.78,M6,2668.79,89.0,1165.01,2757.79
Job_021,8,1592.78,M9,2757.79,45.0,1210.01,2802.79
Job_021,9,1592.78,M4,2802.79,33.0,1243.01,2835.79
Job_022,0,1647.97,M1,1717.37,81.0,150.4,1798.37
Job_022,1,1647.97,M2,1860.37,95.0,307.4,1955.37
Job_022,2,1647.97,M0,2011.55,71.0,434.58,2082.55
Job_022,3,1647.97,M4,2449.67,99.0,900.7,2548.67
Job_022,4,1647.97,M6,2548.67,9.0,909.7,2557.67
Job_022,5,1647.97,M8,2557.67,52.0,961.7,2609.67
Job_022,6,1647.97,M7,2609.67,85.0,1046.7,2694.67
Job_022,7,1647.97,M3,2694.67,98.0,1144.7,2792.67
Job_022,8,1647.97,M9,2850.91,22.0,1224.94,2872.91
Job_022,9,1647.97,M5,2872.91,43.0,1267.94,2915.91
Job_023,0,1686.61,M2,1846.31,14.0,173.7,1860.31
Job_023,1,1686.61,M0,1860.31,6.0,179.7,1866.31
Job_023,2,1686.61,M1,1889.49,22.0,224.88,1911.49
Job_023,3,1686.61,M5,1911.49,61.0,285.88,1972.49
Job_023,4,1686.61,M3,2072.49,26.0,411.88,2098.49
Job_023,5,1686.61,M4,2126.49,69.0,508.88,2195.49
Job_023,6,1686.61,M8,2195.49,21.0,529.88,2216.49
Job_023,7,1686.61,M7,2216.49,49.0,578.88,2265.49
Job_023,8,1686.61,M9,2314.79,72.0,700.18,2386.79
Job_023,9,1686.61,M6,2386.79,53.0,753.18,2439.79
Job_024,0,1759.39,M2,1955.43,84.0,280.04,2039.43
Job_024,1,1759.39,M1,2039.43,2.0,282.04,2041.43
Job_024,2,1759.39,M5,2307.67,52.0,600.28,2359.67
Job_024,3,1759.39,M3,2359.67,95.0,695.28,2454.67
Job_024,4,1759.39,M8,2471.79,48.0,760.4,2519.79
Job_024,5,1759.39,M9,2519.79,72.0,832.4,2591.79
Job_024,6,1759.39,M0,2591.79,47.0,879.4,2638.79
Job_024,7,1759.39,M6,2764.91,65.0,1070.52,2829.91
Job_024,8,1759.39,M4,2835.85,6.0,1082.46,2841.85
Job_024,9,1759.39,M7,2841.85,25.0,1107.46,2866.85
Job_025,0,1799.74,M1,1911.55,46.0,157.81,1957.55
Job_025,1,1799.74,M0,1974.49,37.0,211.75,2011.49
Job_025,2,1799.74,M3,2098.55,61.0,359.81,2159.55
Job_025,3,1799.74,M2,2159.55,13.0,372.81,2172.55
Job_025,4,1799.74,M6,2172.55,32.0,404.81,2204.55
Job_025,5,1799.74,M5,2204.55,21.0,425.81,2225.55
Job_025,6,1799.74,M9,2260.67,32.0,492.93,2292.67
Job_025,7,1799.74,M8,2292.67,89.0,581.93,2381.67
Job_025,8,1799.74,M7,2544.97,30.0,775.23,2574.97
Job_025,9,1799.74,M4,2580.79,55.0,836.05,2635.79
Job_026,0,1955.63,M2,2172.61,31.0,247.98,2203.61
Job_026,1,1955.63,M0,2203.61,86.0,333.98,2289.61
Job_026,2,1955.63,M1,2289.61,46.0,379.98,2335.61
Job_026,3,1955.63,M5,2448.85,74.0,567.22,2522.85
Job_026,4,1955.63,M4,2548.73,32.0,625.1,2580.73
Job_026,5,1955.63,M6,2580.73,88.0,713.1,2668.73
Job_026,6,1955.63,M8,2668.73,19.0,732.1,2687.73
Job_026,7,1955.63,M9,2802.85,48.0,895.22,2850.85
Job_026,8,1955.63,M7,2866.91,36.0,947.28,2902.91
Job_026,9,1955.63,M3,2902.91,79.0,1026.28,2981.91
Job_027,0,2188.04,M0,2638.85,76.0,526.81,2714.85
Job_027,1,2188.04,M1,2714.85,69.0,595.81,2783.85
Job_027,2,2188.04,M3,2981.97,76.0,869.93,3057.97
Job_027,3,2188.04,M5,3070.09,51.0,933.05,3121.09
Job_027,4,2188.04,M2,3121.09,85.0,1018.05,3206.09
Job_027,5,2188.04,M9,3257.09,11.0,1080.05,3268.09
Job_027,6,2188.04,M6,3268.09,40.0,1120.05,3308.09
Job_027,7,2188.04,M7,3312.21,89.0,1213.17,3401.21
Job_027,8,2188.04,M4,3401.21,26.0,1239.17,3427.21
Job_027,9,2188.04,M8,3445.27,74.0,1331.23,3519.27
Job_028,0,2221.95,M1,2335.67,85.0,198.72,2420.67
Job_028,1,2221.95,M0,2420.67,13.0,211.72,2433.67
Job_028,2,2221.95,M2,2433.67,61.0,272.72,2494.67
Job_028,3,2221.95,M6,2757.85,7.0,542.9,2764.85
Job_028,4,2221.95,M8,2764.85,64.0,606.9,2828.85
Job_028,5,2221.95,M9,2872.97,76.0,727.02,2948.97
Job_028,6,2221.95,M5,2948.97,47.0,774.02,2995.97
Job_028,7,2221.95,M3,3058.03,52.0,888.08,3110.03
Job_028,8,2221.95,M4,3177.15,90.0,1045.2,3267.15
Job_028,9,2221.95,M7,3267.15,45.0,1090.2,3312.15
Job_029,0,2331.94,M2,2494.73,31.0,193.79,2525.73
Job_029,1,2331.94,M0,2714.91,86.0,468.97,2800.91
Job_029,2,2331.94,M1,2800.91,46.0,514.97,2846.91
