Job,Operation,Arrival,Machine,Start,Processing Time,Flow time,End
Job_002,9,152.78,M4,1548.63,33.0,1428.85,1581.63
Job_005,7,319.39,M6,1457.51,65.0,1203.12,1522.51
Job_005,8,319.39,M4,1542.63,6.0,1229.24,1548.63
Job_005,9,319.39,M7,1739.51,25.0,1445.12,1764.51
Job_007,6,515.63,M8,1457.51,19.0,960.88,1476.51
Job_007,7,515.63,M9,1488.96,48.0,1021.33,1536.96
Job_007,8,515.63,M7,1536.96,36.0,1057.33,1572.96
Job_007,9,515.63,M3,1852.89,79.0,1416.26,1931.89
Job_008,5,748.04,M9,1477.96,11.0,740.92,1488.96
Job_008,6,748.04,M6,1610.51,40.0,902.47,1650.51
Job_008,7,748.04,M7,1650.51,89.0,991.47,1739.51
Job_008,8,748.04,M4,1739.51,26.0,1017.47,1765.51
Job_008,9,748.04,M8,1765.51,74.0,1091.47,1839.51
Job_009,8,781.95,M4,1452.63,90.0,760.68,1542.63
Job_009,9,781.95,M7,1572.96,45.0,836.01,1617.96
Job_010,5,891.94,M6,1522.51,88.0,718.57,1610.51
Job_010,6,891.94,M8,1610.51,19.0,737.57,1629.51
Job_010,7,891.94,M9,1629.51,48.0,785.57,1677.51
Job_010,8,891.94,M7,1764.51,36.0,908.57,1800.51
Job_010,9,891.94,M3,1967.89,79.0,1154.95,2046.89
Job_011,1,944.71,M1,1707.89,69.0,832.18,1776.89
Job_011,2,944.71,M3,1776.89,76.0,908.18,1852.89
Job_011,3,944.71,M5,1852.89,51.0,959.18,1903.89
Job_011,4,944.71,M2,1903.89,85.0,1044.18,1988.89
Job_011,5,944.71,M9,2049.51,11.0,1115.8,2060.51
Job_011,6,944.71,M6,2096.89,40.0,1192.18,2136.89
Job_011,7,944.71,M7,2242.89,89.0,1387.18,2331.89
Job_011,8,944.71,M4,2399.89,26.0,1481.18,2425.89
Job_011,9,944.71,M8,2425.89,74.0,1555.18,2499.89
Job_012,4,1003.56,M3,1452.63,69.0,518.07,1521.63
Job_012,5,1003.56,M1,1592.89,28.0,617.33,1620.89
Job_012,6,1003.56,M6,1650.51,46.0,692.95,1696.51
Job_012,7,1003.56,M5,1696.51,46.0,738.95,1742.51
Job_012,8,1003.56,M7,1849.51,72.0,917.95,1921.51
Job_012,9,1003.56,M8,1977.51,30.0,1003.95,2007.51
Job_013,0,1185.73,M2,1515.27,84.0,413.54,1599.27
Job_013,1,1185.73,M1,1620.89,2.0,437.16,1622.89
Job_013,2,1185.73,M5,1622.89,52.0,489.16,1674.89
Job_013,3,1185.73,M3,1674.89,95.0,584.16,1769.89
Job_013,4,1185.73,M8,1929.51,48.0,791.78,1977.51
Job_013,5,1185.73,M9,1977.51,72.0,863.78,2049.51
Job_013,6,1185.73,M0,2278.89,47.0,1140.16,2325.89
Job_013,7,1185.73,M6,2328.89,65.0,1208.16,2393.89
Job_013,8,1185.73,M4,2393.89,6.0,1214.16,2399.89
