Job,Operation,Arrival,Machine,Start,Processing Time,Flow time,End
Job_041,7,3087.97,M3,5900.88,98.0,2910.91,5998.88
Job_041,8,3087.97,M9,5998.88,22.0,2932.91,6020.88
Job_041,9,3087.97,M5,6577.17,43.0,3532.2,6620.17
Job_043,6,3199.39,M0,6116.17,47.0,2963.78,6163.17
Job_043,7,3199.39,M6,6163.17,65.0,3028.78,6228.17
Job_043,8,3199.39,M4,6228.17,6.0,3034.78,6234.17
Job_043,9,3199.39,M7,6234.17,25.0,3059.78,6259.17
Job_045,5,3395.63,M6,5760.0,88.0,2452.37,5848.0
Job_045,6,3395.63,M8,5848.0,19.0,2471.37,5867.0
Job_045,7,3395.63,M9,5867.0,48.0,2519.37,5915.0
Job_045,8,3395.63,M7,5915.0,36.0,2555.37,5951.0
Job_045,9,3395.63,M3,5998.88,79.0,2682.25,6077.88
Job_046,0,3628.04,M0,6040.17,76.0,2488.13,6116.17
Job_046,1,3628.04,M1,6130.78,69.0,2571.74,6199.78
Job_046,2,3628.04,M3,6374.17,76.0,2822.13,6450.17
Job_046,3,3628.04,M5,6450.17,51.0,2873.13,6501.17
Job_046,4,3628.04,M2,6882.17,85.0,3339.13,6967.17
Job_046,5,3628.04,M9,6997.61,11.0,3380.57,7008.61
Job_046,6,3628.04,M6,7391.78,40.0,3803.74,7431.78
Job_046,7,3628.04,M7,7607.78,89.0,4068.74,7696.78
Job_046,8,3628.04,M4,11929.61,26.0,8327.57,11955.61
Job_046,9,3628.04,M8,13162.61,74.0,9608.57,13236.61
Job_047,1,3661.95,M0,5818.17,13.0,2169.22,5831.17
Job_047,2,3661.95,M2,6027.0,61.0,2426.05,6088.0
Job_047,3,3661.95,M6,6228.17,7.0,2573.22,6235.17
Job_047,4,3661.95,M8,6295.0,64.0,2697.05,6359.0
Job_047,5,3661.95,M9,6359.0,76.0,2773.05,6435.0
Job_047,6,3661.95,M5,6620.17,47.0,3005.22,6667.17
Job_047,7,3661.95,M3,6780.61,52.0,3170.66,6832.61
Job_047,8,3661.95,M4,8100.78,90.0,4528.83,8190.78
Job_047,9,3661.95,M7,8190.78,45.0,4573.83,8235.78
Job_048,0,3771.94,M2,5996.0,31.0,2255.06,6027.0
Job_048,1,3771.94,M0,6422.78,86.0,2736.84,6508.78
Job_048,2,3771.94,M1,6508.78,46.0,2782.84,6554.78
Job_048,3,3771.94,M5,6851.78,74.0,3153.84,6925.78
Job_048,4,3771.94,M4,7271.78,32.0,3531.84,7303.78
Job_048,5,3771.94,M6,7303.78,88.0,3619.84,7391.78
Job_048,6,3771.94,M8,9182.61,19.0,5429.67,9201.61
Job_048,7,3771.94,M9,10996.61,48.0,7272.67,11044.61
Job_048,8,3771.94,M7,13699.61,36.0,9963.67,13735.61
Job_048,9,3771.94,M3,13735.61,79.0,10042.67,13814.61
Job_049,0,3824.71,M0,6586.78,76.0,2838.07,6662.78
Job_049,1,3824.71,M1,6712.61,69.0,2956.9,6781.61
Job_049,2,3824.71,M3,7195.61,76.0,3446.9,7271.61
Job_049,3,3824.71,M5,7271.61,51.0,3497.9,7322.61
Job_049,4,3824.71,M2,8517.78,85.0,4778.07,8602.78
Job_049,5,3824.71,M9,12935.61,11.0,9121.9,12946.61
Job_049,6,3824.71,M6,12966.61,40.0,9181.9,13006.61
Job_049,7,3824.71,M7,14128.61,89.0,10392.9,14217.61
Job_049,8,3824.71,M4,14356.61,26.0,10557.9,14382.61
Job_049,9,3824.71,M8,14561.61,74.0,10810.9,14635.61
Job_050,0,3883.56,M0,6543.78,43.0,2703.22,6586.78
Job_050,1,3883.56,M2,6792.17,90.0,2998.61,6882.17
Job_050,2,3883.56,M4,7196.78,75.0,3388.22,7271.78
Job_050,3,3883.56,M9,7354.61,11.0,3482.05,7365.61
Job_050,4,3883.56,M3,7452.78,69.0,3638.22,7521.78
Job_050,5,3883.56,M1,8083.61,28.0,4228.05,8111.61
Job_050,6,3883.56,M6,10114.61,46.0,6277.05,10160.61
Job_050,7,3883.56,M5,10824.61,46.0,6987.05,10870.61
Job_050,8,3883.56,M7,14056.61,72.0,10245.05,14128.61
Job_050,9,3883.56,M8,14128.61,30.0,10275.05,14158.61
Job_051,0,4065.73,M2,6708.17,84.0,2726.44,6792.17
Job_051,1,4065.73,M1,8081.61,2.0,4017.88,8083.61
Job_051,2,4065.73,M5,8362.78,52.0,4349.05,8414.78
Job_051,3,4065.73,M3,8414.78,95.0,4444.05,8509.78
Job_051,4,4065.73,M8,13877.61,48.0,9859.88,13925.61
Job_051,5,4065.73,M9,14238.61,72.0,10244.88,14310.61
Job_051,6,4065.73,M0,14310.61,47.0,10291.88,14357.61
Job_051,7,4065.73,M6,14898.61,65.0,10897.88,14963.61
Job_051,8,4065.73,M4,15055.61,6.0,10995.88,15061.61
Job_051,9,4065.73,M7,15061.61,25.0,11020.88,15086.61
Job_052,0,4070.89,M1,7309.78,81.0,3319.89,7390.78
Job_052,1,4070.89,M2,7564.61,95.0,3588.72,7659.61
Job_052,2,4070.89,M0,8376.78,71.0,4376.89,8447.78
Job_052,3,4070.89,M4,14382.61,99.0,10410.72,14481.61
Job_052,4,4070.89,M6,14481.61,9.0,10419.72,14490.61
Job_052,5,4070.89,M8,14725.61,52.0,10706.72,14777.61
Job_052,6,4070.89,M7,14777.61,85.0,10791.72,14862.61
Job_052,7,4070.89,M3,14862.61,98.0,10889.72,14960.61
Job_052,8,4070.89,M9,14960.61,22.0,10911.72,14982.61
Job_052,9,4070.89,M5,14982.61,43.0,10954.72,15025.61
Job_053,0,4077.28,M2,6694.17,14.0,2630.89,6708.17
Job_053,1,4077.28,M0,6708.17,6.0,2636.89,6714.17
Job_053,2,4077.28,M1,6940.61,22.0,2885.33,6962.61
Job_053,3,4077.28,M5,7202.17,61.0,3185.89,7263.17
Job_053,4,4077.28,M3,7975.78,26.0,3924.5,8001.78
Job_053,5,4077.28,M4,12278.61,69.0,8270.33,12347.61
Job_053,6,4077.28,M8,13300.61,21.0,9244.33,13321.61
Job_053,7,4077.28,M7,13735.61,49.0,9707.33,13784.61
Job_053,8,4077.28,M9,14310.61,72.0,10305.33,14382.61
Job_053,9,4077.28,M6,14382.61,53.0,10358.33,14435.61
Job_054,0,4078.72,M1,6621.61,91.0,2633.89,6712.61
Job_054,1,4078.72,M0,6799.17,85.0,2805.45,6884.17
Job_054,2,4078.72,M3,14007.61,39.0,9967.89,14046.61
Job_054,3,4078.72,M2,14046.61,74.0,10041.89,14120.61
Job_054,4,4078.72,M8,14635.61,90.0,10646.89,14725.61
Job_054,5,4078.72,M5,14725.61,10.0,10656.89,14735.61
Job_054,6,4078.72,M7,14735.61,12.0,10668.89,14747.61
Job_054,7,4078.72,M6,14747.61,89.0,10757.89,14836.61
Job_054,8,4078.72,M9,14836.61,45.0,10802.89,14881.61
Job_054,9,4078.72,M4,15061.61,33.0,11015.89,15094.61
Job_055,0,4204.04,M0,6662.78,29.0,2487.74,6691.78
Job_055,1,4204.04,M1,8111.61,78.0,3985.57,8189.61
Job_055,2,4204.04,M2,14181.61,9.0,9986.57,14190.61
Job_055,3,4204.04,M3,14190.61,36.0,10022.57,14226.61
Job_055,4,4204.04,M4,14481.61,49.0,10326.57,14530.61
Job_055,5,4204.04,M5,14530.61,11.0,10337.57,14541.61
Job_055,6,4204.04,M6,14836.61,62.0,10694.57,14898.61
Job_055,7,4204.04,M7,15086.61,56.0,10938.57,15142.61
Job_055,8,4204.04,M8,15142.61,44.0,10982.57,15186.61
Job_055,9,4204.04,M9,15309.61,21.0,11126.57,15330.61
Job_056,0,4309.61,M1,7224.78,85.0,3000.17,7309.78
Job_056,1,4309.61,M0,8494.78,13.0,4198.17,8507.78
Job_056,2,4309.61,M2,14120.61,61.0,9872.0,14181.61
Job_056,3,4309.61,M6,14490.61,7.0,10188.0,14497.61
Job_056,4,4309.61,M8,14497.61,64.0,10252.0,14561.61
Job_056,5,4309.61,M9,14561.61,76.0,10328.0,14637.61
Job_056,6,4309.61,M5,14735.61,47.0,10473.0,14782.61
Job_056,7,4309.61,M3,14782.61,52.0,10525.0,14834.61
Job_056,8,4309.61,M4,15201.61,90.0,10982.0,15291.61
Job_056,9,4309.61,M7,15440.61,45.0,11176.0,15485.61
Job_060,7,4527.97,M3,5802.88,98.0,1372.91,5900.88
Job_060,8,4527.97,M9,5915.0,22.0,1409.03,5937.0
Job_060,9,4527.97,M5,5937.0,43.0,1452.03,5980.0
Job_062,6,4639.39,M0,5831.17,47.0,1238.78,5878.17
Job_062,7,4639.39,M6,6001.0,65.0,1426.61,6066.0
Job_062,8,4639.39,M4,6066.0,6.0,1432.61,6072.0
Job_062,9,4639.39,M7,6072.0,25.0,1457.61,6097.0
Job_064,4,4835.63,M4,5789.16,32.0,985.53,5821.16
Job_064,5,4835.63,M6,5913.0,88.0,1165.37,6001.0
Job_064,6,4835.63,M8,6001.0,19.0,1184.37,6020.0
Job_064,7,4835.63,M9,6020.88,48.0,1233.25,6068.88
Job_064,8,4835.63,M7,6259.17,36.0,1459.54,6295.17
Job_064,9,4835.63,M3,6295.17,79.0,1538.54,6374.17
Job_065,4,5068.04,M2,5760.0,85.0,776.96,5845.0
Job_065,5,5068.04,M9,5845.0,11.0,787.96,5856.0
Job_065,6,5068.04,M6,6066.0,40.0,1037.96,6106.0
Job_065,7,5068.04,M7,6106.0,89.0,1126.96,6195.0
Job_065,8,5068.04,M4,6195.0,26.0,1152.96,6221.0
