Job,Operation,Arrival,Deadline,Machine,Start,Processing Time,End,Tardiness
Job_000,0,0.0,1069.3464145185426,M0,652.63,29.0,681.63,0.0
Job_000,1,0.0,1069.3464145185426,M1,698.63,78.0,776.63,0.0
Job_000,2,0.0,1069.3464145185426,M2,814.63,9.0,823.63,0.0
Job_000,3,0.0,1069.3464145185426,M3,823.63,36.0,859.63,0.0
Job_000,4,0.0,1069.3464145185426,M4,859.63,49.0,908.63,0.0
Job_000,5,0.0,1069.3464145185426,M5,961.63,11.0,972.63,0.0
Job_000,6,0.0,1069.3464145185426,M6,972.63,62.0,1034.63,0.0
Job_000,7,0.0,1069.3464145185426,M7,1034.63,56.0,1090.63,21.28
Job_000,8,0.0,1069.3464145185426,M8,1090.63,44.0,1134.63,65.28
Job_000,9,0.0,1069.3464145185426,M9,1134.63,21.0,1155.63,86.28
Job_001,0,88.05,1468.7251174796372,M0,681.63,43.0,724.63,0.0
Job_001,1,88.05,1468.7251174796372,M2,724.63,90.0,814.63,0.0
Job_001,2,88.05,1468.7251174796372,M4,940.63,75.0,1015.63,0.0
Job_001,3,88.05,1468.7251174796372,M9,1015.63,11.0,1026.63,0.0
Job_001,4,88.05,1468.7251174796372,M3,1056.63,69.0,1125.63,0.0
Job_001,5,88.05,1468.7251174796372,M1,1125.63,28.0,1153.63,0.0
Job_001,6,88.05,1468.7251174796372,M6,1294.63,46.0,1340.63,0.0
Job_001,7,88.05,1468.7251174796372,M5,1391.89,46.0,1437.89,0.0
Job_001,8,88.05,1468.7251174796372,M7,1437.89,72.0,1509.89,41.16
Job_001,9,88.05,1468.7251174796372,M8,1509.89,30.0,1539.89,71.16
Job_002,0,152.78,1690.4730720165371,M1,990.63,91.0,1081.63,0.0
Job_002,1,152.78,1690.4730720165371,M0,1208.56,85.0,1293.56,0.0
Job_002,2,152.78,1690.4730720165371,M3,1293.56,39.0,1332.56,0.0
Job_002,3,152.78,1690.4730720165371,M2,1332.56,74.0,1406.56,0.0
Job_002,4,152.78,1690.4730720165371,M8,1558.89,90.0,1648.89,0.0
Job_002,5,152.78,1690.4730720165371,M5,1648.89,10.0,1658.89,0.0
Job_002,6,152.78,1690.4730720165371,M7,1658.89,12.0,1670.89,0.0
Job_002,7,152.78,1690.4730720165371,M6,1695.0,89.0,1784.0,93.53
Job_002,8,152.78,1690.4730720165371,M9,1784.0,45.0,1829.0,138.53
Job_002,9,152.78,1690.4730720165371,M4,1829.0,33.0,1862.0,171.53
Job_003,0,207.97,1981.190003821887,M1,909.63,81.0,990.63,0.0
Job_003,1,207.97,1981.190003821887,M2,1136.56,95.0,1231.56,0.0
Job_003,2,207.97,1981.190003821887,M0,1516.0,71.0,1587.0,0.0
Job_003,3,207.97,1981.190003821887,M4,1587.0,99.0,1686.0,0.0
Job_003,4,207.97,1981.190003821887,M6,1686.0,9.0,1695.0,0.0
Job_003,5,207.97,1981.190003821887,M8,2121.0,52.0,2173.0,191.81
Job_003,6,207.97,1981.190003821887,M7,2173.0,85.0,2258.0,276.81
Job_003,7,207.97,1981.190003821887,M3,2307.0,98.0,2405.0,423.81
Job_003,8,207.97,1981.190003821887,M9,2405.0,22.0,2427.0,445.81
Job_003,9,207.97,1981.190003821887,M5,2440.0,43.0,2483.0,501.81
Job_004,0,246.61,1310.542002293132,M2,546.63,14.0,560.63,0.0
Job_004,1,246.61,1310.542002293132,M0,560.63,6.0,566.63,0.0
Job_004,2,246.61,1310.542002293132,M1,566.63,22.0,588.63,0.0
Job_004,3,246.61,1310.542002293132,M5,626.63,61.0,687.63,0.0
Job_004,4,246.61,1310.542002293132,M3,687.63,26.0,713.63,0.0
Job_004,5,246.61,1310.542002293132,M4,713.63,69.0,782.63,0.0
Job_004,6,246.61,1310.542002293132,M8,782.63,21.0,803.63,0.0
Job_004,7,246.61,1310.542002293132,M7,1120.63,49.0,1169.63,0.0
Job_004,8,246.61,1310.542002293132,M9,1169.63,72.0,1241.63,0.0
Job_004,9,246.61,1310.542002293132,M6,1241.63,53.0,1294.63,0.0
Job_005,0,319.39,1662.1642319017647,M2,823.63,84.0,907.63,0.0
Job_005,1,319.39,1662.1642319017647,M1,907.63,2.0,909.63,0.0
Job_005,2,319.39,1662.1642319017647,M5,909.63,52.0,961.63,0.0
Job_005,3,319.39,1662.1642319017647,M3,961.63,95.0,1056.63,0.0
Job_005,4,319.39,1662.1642319017647,M8,1153.63,48.0,1201.63,0.0
Job_005,5,319.39,1662.1642319017647,M9,1252.63,72.0,1324.63,0.0
Job_005,6,319.39,1662.1642319017647,M0,1469.0,47.0,1516.0,0.0
Job_005,7,319.39,1662.1642319017647,M6,1516.0,65.0,1581.0,0.0
Job_005,8,319.39,1662.1642319017647,M4,1581.0,6.0,1587.0,0.0
Job_005,9,319.39,1662.1642319017647,M7,1587.0,25.0,1612.0,0.0
Job_006,0,359.74,1485.937742885351,M1,359.74,46.0,405.74,0.0
Job_006,1,359.74,1485.937742885351,M0,405.74,37.0,442.74,0.0
Job_006,2,359.74,1485.937742885351,M3,442.74,61.0,503.74,0.0
Job_006,3,359.74,1485.937742885351,M2,560.63,13.0,573.63,0.0
Job_006,4,359.74,1485.937742885351,M6,573.63,32.0,605.63,0.0
Job_006,5,359.74,1485.937742885351,M5,605.63,21.0,626.63,0.0
Job_006,6,359.74,1485.937742885351,M9,626.63,32.0,658.63,0.0
Job_006,7,359.74,1485.937742885351,M8,658.63,89.0,747.63,0.0
Job_006,8,359.74,1485.937742885351,M7,1090.63,30.0,1120.63,0.0
Job_006,9,359.74,1485.937742885351,M4,1211.56,55.0,1266.56,0.0
Job_007,0,515.63,1974.814094748087,M2,515.63,31.0,546.63,0.0
Job_007,1,515.63,1974.814094748087,M0,566.63,86.0,652.63,0.0
Job_007,2,515.63,1974.814094748087,M1,652.63,46.0,698.63,0.0
Job_007,3,515.63,1974.814094748087,M5,698.63,74.0,772.63,0.0
Job_007,4,515.63,1974.814094748087,M4,908.63,32.0,940.63,0.0
Job_007,5,515.63,1974.814094748087,M6,1034.63,88.0,1122.63,0.0
Job_007,6,515.63,1974.814094748087,M8,1134.63,19.0,1153.63,0.0
Job_007,7,515.63,1974.814094748087,M9,1606.89,48.0,1654.89,0.0
Job_007,8,515.63,1974.814094748087,M7,1670.89,36.0,1706.89,0.0
Job_007,9,515.63,1974.814094748087,M3,2152.0,79.0,2231.0,256.19
Job_008,0,748.04,2364.242049284987,M0,1999.0,76.0,2075.0,0.0
Job_008,1,748.04,2364.242049284987,M1,2075.0,69.0,2144.0,0.0
Job_008,2,748.04,2364.242049284987,M3,2231.0,76.0,2307.0,0.0
Job_008,3,748.04,2364.242049284987,M5,2389.0,51.0,2440.0,75.76
Job_008,4,748.04,2364.242049284987,M2,2440.0,85.0,2525.0,160.76
Job_008,5,748.04,2364.242049284987,M9,2681.0,11.0,2692.0,327.76
Job_008,6,748.04,2364.242049284987,M6,2699.0,40.0,2739.0,374.76
Job_008,7,748.04,2364.242049284987,M7,2930.0,89.0,3019.0,654.76
Job_008,8,748.04,2364.242049284987,M4,3019.0,26.0,3045.0,680.76
Job_008,9,748.04,2364.242049284987,M8,3045.0,74.0,3119.0,754.76
Job_009,0,781.95,2243.841300860792,M1,1317.89,85.0,1402.89,0.0
Job_009,1,781.95,2243.841300860792,M0,1636.0,13.0,1649.0,0.0
Job_009,2,781.95,2243.841300860792,M2,1804.61,61.0,1865.61,0.0
Job_009,3,781.95,2243.841300860792,M6,1865.61,7.0,1872.61,0.0
Job_009,4,781.95,2243.841300860792,M8,1872.61,64.0,1936.61,0.0
Job_009,5,781.95,2243.841300860792,M9,2197.0,76.0,2273.0,29.16
Job_009,6,781.95,2243.841300860792,M5,2290.0,47.0,2337.0,93.16
Job_009,7,781.95,2243.841300860792,M3,2624.0,52.0,2676.0,432.16
Job_009,8,781.95,2243.841300860792,M4,2676.0,90.0,2766.0,522.16
Job_009,9,781.95,2243.841300860792,M7,2766.0,45.0,2811.0,567.16
Job_010,0,891.94,2351.1240947480874,M2,907.63,31.0,938.63,0.0
