Job,Operation,Arrival,Deadline,Machine,Start,Processing Time,End,Tardiness
Job_008,7,748.04,2364.242049284987,M7,3075.48,89.0,3164.48,800.24
Job_008,8,748.04,2364.242049284987,M4,3164.48,26.0,3190.48,826.24
Job_008,9,748.04,2364.242049284987,M8,3190.48,74.0,3264.48,900.24
Job_011,7,944.71,2560.912049284987,M7,3164.48,89.0,3253.48,692.57
Job_011,8,944.71,2560.912049284987,M4,3253.48,26.0,3279.48,718.57
Job_011,9,944.71,2560.912049284987,M8,3335.48,74.0,3409.48,848.57
Job_013,8,1185.73,2528.504231901765,M4,2976.48,6.0,2982.48,453.98
Job_013,9,1185.73,2528.504231901765,M7,3038.48,25.0,3063.48,534.98
Job_016,4,1198.72,2736.413072016537,M8,2942.28,90.0,3032.28,295.87
Job_016,5,1198.72,2736.413072016537,M5,3032.28,10.0,3042.28,305.87
Job_016,6,1198.72,2736.413072016537,M7,3063.48,12.0,3075.48,339.07
Job_016,7,1198.72,2736.413072016537,M6,3122.48,89.0,3211.48,475.07
Job_016,8,1198.72,2736.413072016537,M9,3211.48,45.0,3256.48,520.07
Job_016,9,1198.72,2736.413072016537,M4,3334.48,33.0,3367.48,631.07
Job_018,9,1429.61,2891.501300860792,M7,2993.48,45.0,3038.48,146.98
Job_020,8,1528.05,2908.7251174796374,M7,2921.48,72.0,2993.48,84.75
Job_020,9,1528.05,2908.7251174796374,M8,3032.28,30.0,3062.28,153.55
Job_021,0,1592.78,3130.473072016537,M1,2897.12,91.0,2988.12,0.0
Job_021,1,1592.78,3130.473072016537,M0,3451.58,85.0,3536.58,406.11
Job_021,2,1592.78,3130.473072016537,M3,3734.05,39.0,3773.05,642.58
Job_021,3,1592.78,3130.473072016537,M2,3850.05,74.0,3924.05,793.58
Job_021,4,1592.78,3130.473072016537,M8,4003.0,90.0,4093.0,962.53
Job_021,5,1592.78,3130.473072016537,M5,4093.0,10.0,4103.0,972.53
Job_021,6,1592.78,3130.473072016537,M7,4103.0,12.0,4115.0,984.53
Job_021,7,1592.78,3130.473072016537,M6,4265.0,89.0,4354.0,1223.53
Job_021,8,1592.78,3130.473072016537,M9,4441.05,45.0,4486.05,1355.58
Job_021,9,1592.78,3130.473072016537,M4,4486.05,33.0,4519.05,1388.58
Job_022,2,1647.97,3421.1900038218873,M0,2880.0,71.0,2951.0,0.0
Job_022,3,1647.97,3421.1900038218873,M4,3014.48,99.0,3113.48,0.0
Job_022,4,1647.97,3421.1900038218873,M6,3113.48,9.0,3122.48,0.0
Job_022,5,1647.97,3421.1900038218873,M8,3283.48,52.0,3335.48,0.0
Job_022,6,1647.97,3421.1900038218873,M7,3392.48,85.0,3477.48,56.29
Job_022,7,1647.97,3421.1900038218873,M3,3477.48,98.0,3575.48,154.29
Job_022,8,1647.97,3421.1900038218873,M9,3575.48,22.0,3597.48,176.29
Job_022,9,1647.97,3421.1900038218873,M5,3699.05,43.0,3742.05,320.86
Job_023,9,1686.61,2750.542002293132,M6,2956.6,53.0,3009.6,259.06
Job_024,4,1759.39,3102.1642319017647,M8,2894.28,48.0,2942.28,0.0
Job_024,5,1759.39,3102.1642319017647,M9,2942.28,72.0,3014.28,0.0
Job_024,6,1759.39,3102.1642319017647,M0,3142.0,47.0,3189.0,86.84
Job_024,7,1759.39,3102.1642319017647,M6,3211.48,65.0,3276.48,174.32
Job_024,8,1759.39,3102.1642319017647,M4,3279.48,6.0,3285.48,183.32
Job_024,9,1759.39,3102.1642319017647,M7,3367.48,25.0,3392.48,290.32
Job_025,8,1799.74,2925.9377428853513,M7,2891.48,30.0,2921.48,0.0
Job_025,9,1799.74,2925.9377428853513,M4,2921.48,55.0,2976.48,50.54
Job_026,3,1955.63,3414.814094748087,M5,2897.12,74.0,2971.12,0.0
Job_026,4,1955.63,3414.814094748087,M4,2982.48,32.0,3014.48,0.0
Job_026,5,1955.63,3414.814094748087,M6,3014.48,88.0,3102.48,0.0
Job_026,6,1955.63,3414.814094748087,M8,3264.48,19.0,3283.48,0.0
Job_026,7,1955.63,3414.814094748087,M9,3283.48,48.0,3331.48,0.0
Job_026,8,1955.63,3414.814094748087,M7,3331.48,36.0,3367.48,0.0
Job_026,9,1955.63,3414.814094748087,M3,3398.48,79.0,3477.48,62.67
Job_027,0,2188.04,3804.242049284987,M0,3189.0,76.0,3265.0,0.0
Job_027,1,2188.04,3804.242049284987,M1,3410.0,69.0,3479.0,0.0
Job_027,2,2188.04,3804.242049284987,M3,3623.05,76.0,3699.05,0.0
Job_027,3,2188.04,3804.242049284987,M5,3932.05,51.0,3983.05,178.81
Job_027,4,2188.04,3804.242049284987,M2,3983.05,85.0,4068.05,263.81
Job_027,5,2188.04,3804.242049284987,M9,4186.0,11.0,4197.0,392.76
Job_027,6,2188.04,3804.242049284987,M6,4225.0,40.0,4265.0,460.76
Job_027,7,2188.04,3804.242049284987,M7,4265.0,89.0,4354.0,549.76
Job_027,8,2188.04,3804.242049284987,M4,4551.05,26.0,4577.05,772.81
Job_027,9,2188.04,3804.242049284987,M8,4577.05,74.0,4651.05,846.81
Job_028,0,2221.95,3683.841300860792,M1,3776.05,85.0,3861.05,177.21
Job_028,1,2221.95,3683.841300860792,M0,3896.0,13.0,3909.0,225.16
Job_028,2,2221.95,3683.841300860792,M2,4081.05,61.0,4142.05,458.21
Job_028,3,2221.95,3683.841300860792,M6,4142.05,7.0,4149.05,465.21
Job_028,4,2221.95,3683.841300860792,M8,4149.05,64.0,4213.05,529.21
Job_028,5,2221.95,3683.841300860792,M9,4213.05,76.0,4289.05,605.21
Job_028,6,2221.95,3683.841300860792,M5,4572.0,47.0,4619.0,935.16
Job_028,7,2221.95,3683.841300860792,M3,4619.0,52.0,4671.0,987.16
Job_028,8,2221.95,3683.841300860792,M4,4671.0,90.0,4761.0,1077.16
Job_028,9,2221.95,3683.841300860792,M7,4951.0,45.0,4996.0,1312.16
Job_029,1,2331.94,3791.1240947480874,M0,2951.0,86.0,3037.0,0.0
Job_029,2,2331.94,3791.1240947480874,M1,3364.0,46.0,3410.0,0.0
Job_029,3,2331.94,3791.1240947480874,M5,3490.0,74.0,3564.0,0.0
Job_029,4,2331.94,3791.1240947480874,M4,3763.05,32.0,3795.05,3.93
Job_029,5,2331.94,3791.1240947480874,M6,3890.0,88.0,3978.0,186.88
Job_029,6,2331.94,3791.1240947480874,M8,3984.0,19.0,4003.0,211.88
Job_029,7,2331.94,3791.1240947480874,M9,4091.05,48.0,4139.05,347.93
Job_029,8,2331.94,3791.1240947480874,M7,4139.05,36.0,4175.05,383.93
Job_029,9,2331.94,3791.1240947480874,M3,4175.05,79.0,4254.05,462.93
Job_030,0,2384.71,4000.912049284987,M0,3066.0,76.0,3142.0,0.0
Job_030,1,2384.71,4000.912049284987,M1,3707.05,69.0,3776.05,0.0
Job_030,2,2384.71,4000.912049284987,M3,3868.05,76.0,3944.05,0.0
