Job,Operation,Arrival,Deadline,Machine,Start,Processing Time,End,Tardiness
Job_002,9,152.78,1690.4730720165371,M4,1478.14,33.0,1511.14,0.0
Job_003,3,207.97,1981.190003821887,M4,1511.74,99.0,1610.74,0.0
Job_003,4,207.97,1981.190003821887,M6,1610.74,9.0,1619.74,0.0
Job_003,5,207.97,1981.190003821887,M8,1619.74,52.0,1671.74,0.0
Job_003,6,207.97,1981.190003821887,M7,1671.74,85.0,1756.74,0.0
Job_003,7,207.97,1981.190003821887,M3,1840.59,98.0,1938.59,0.0
Job_003,8,207.97,1981.190003821887,M9,1963.34,22.0,1985.34,4.15
Job_003,9,207.97,1981.190003821887,M5,1990.99,43.0,2033.99,52.8
Job_008,2,748.04,2364.242049284987,M3,1495.99,76.0,1571.99,0.0
Job_008,3,748.04,2364.242049284987,M5,1571.99,51.0,1622.99,0.0
Job_008,4,748.04,2364.242049284987,M2,1622.99,85.0,1707.99,0.0
Job_008,5,748.04,2364.242049284987,M9,1707.99,11.0,1718.99,0.0
Job_008,6,748.04,2364.242049284987,M6,1718.99,40.0,1758.99,0.0
Job_008,7,748.04,2364.242049284987,M7,1806.94,89.0,1895.94,0.0
Job_008,8,748.04,2364.242049284987,M4,2239.59,26.0,2265.59,0.0
Job_008,9,748.04,2364.242049284987,M8,2443.79,74.0,2517.79,153.55
Job_009,7,781.95,2243.841300860792,M3,1572.59,52.0,1624.59,0.0
Job_009,8,781.95,2243.841300860792,M4,1680.94,90.0,1770.94,0.0
Job_009,9,781.95,2243.841300860792,M7,1896.54,45.0,1941.54,0.0
Job_010,2,891.94,2351.1240947480874,M1,1496.59,46.0,1542.59,0.0
Job_010,3,891.94,2351.1240947480874,M5,1623.59,74.0,1697.59,0.0
Job_010,4,891.94,2351.1240947480874,M4,1771.54,32.0,1803.54,0.0
Job_010,5,891.94,2351.1240947480874,M6,1803.54,88.0,1891.54,0.0
Job_010,6,891.94,2351.1240947480874,M8,1891.54,19.0,1910.54,0.0
Job_010,7,891.94,2351.1240947480874,M9,1985.94,48.0,2033.94,0.0
Job_010,8,891.94,2351.1240947480874,M7,2033.94,36.0,2069.94,0.0
Job_010,9,891.94,2351.1240947480874,M3,2170.59,79.0,2249.59,0.0
Job_011,0,944.71,2560.912049284987,M0,1543.68,76.0,1619.68,0.0
Job_011,1,944.71,2560.912049284987,M1,1621.79,69.0,1690.79,0.0
Job_011,2,944.71,2560.912049284987,M3,1690.79,76.0,1766.79,0.0
Job_011,3,944.71,2560.912049284987,M5,1916.19,51.0,1967.19,0.0
Job_011,4,944.71,2560.912049284987,M2,1967.19,85.0,2052.19,0.0
Job_011,5,944.71,2560.912049284987,M9,2052.19,11.0,2063.19,0.0
Job_011,6,944.71,2560.912049284987,M6,2240.99,40.0,2280.99,0.0
Job_011,7,944.71,2560.912049284987,M7,2296.99,89.0,2385.99,0.0
Job_011,8,944.71,2560.912049284987,M4,2753.19,26.0,2779.19,218.28
Job_011,9,944.71,2560.912049284987,M8,2779.19,74.0,2853.19,292.28
Job_012,0,1003.56,2384.235117479637,M0,1470.48,43.0,1513.48,0.0
Job_012,1,1003.56,2384.235117479637,M2,1524.6,90.0,1614.6,0.0
Job_012,2,1003.56,2384.235117479637,M4,1804.14,75.0,1879.14,0.0
Job_012,3,1003.56,2384.235117479637,M9,1879.14,11.0,1890.14,0.0
Job_012,4,1003.56,2384.235117479637,M3,2034.79,69.0,2103.79,0.0
Job_012,5,1003.56,2384.235117479637,M1,2103.79,28.0,2131.79,0.0
Job_012,6,1003.56,2384.235117479637,M6,2131.79,46.0,2177.79,0.0
Job_012,7,1003.56,2384.235117479637,M5,2177.79,46.0,2223.79,0.0
Job_012,8,1003.56,2384.235117479637,M7,2465.79,72.0,2537.79,153.55
Job_012,9,1003.56,2384.235117479637,M8,2562.99,30.0,2592.99,208.75
Job_013,0,1185.73,2528.504231901765,M2,1440.0,84.0,1524.0,0.0
Job_013,1,1185.73,2528.504231901765,M1,1861.59,2.0,1863.59,0.0
Job_013,2,1185.73,2528.504231901765,M5,1863.59,52.0,1915.59,0.0
Job_013,3,1185.73,2528.504231901765,M3,1939.19,95.0,2034.19,0.0
Job_013,4,1185.73,2528.504231901765,M8,2034.19,48.0,2082.19,0.0
Job_013,5,1185.73,2528.504231901765,M9,2082.19,72.0,2154.19,0.0
Job_013,6,1185.73,2528.504231901765,M0,2162.59,47.0,2209.59,0.0
Job_013,7,1185.73,2528.504231901765,M6,2289.19,65.0,2354.19,0.0
Job_013,8,1185.73,2528.504231901765,M4,2383.59,6.0,2389.59,0.0
Job_013,9,1185.73,2528.504231901765,M7,2538.39,25.0,2563.39,34.89
Job_014,0,1190.89,2964.1100038218874,M1,2178.99,81.0,2259.99,0.0
Job_014,1,1190.89,2964.1100038218874,M2,2308.59,95.0,2403.59,0.0
Job_014,2,1190.89,2964.1100038218874,M0,2403.59,71.0,2474.59,0.0
Job_014,3,1190.89,2964.1100038218874,M4,2474.59,99.0,2573.59,0.0
Job_014,4,1190.89,2964.1100038218874,M6,2755.19,9.0,2764.19,0.0
Job_014,5,1190.89,2964.1100038218874,M8,2853.79,52.0,2905.79,0.0
Job_014,6,1190.89,2964.1100038218874,M7,3025.99,85.0,3110.99,146.88
Job_014,7,1190.89,2964.1100038218874,M3,3110.99,98.0,3208.99,244.88
Job_014,8,1190.89,2964.1100038218874,M9,3208.99,22.0,3230.99,266.88
Job_014,9,1190.89,2964.1100038218874,M5,3330.39,43.0,3373.39,409.28
Job_015,4,1197.28,2261.212002293132,M3,1452.88,26.0,1478.88,0.0
Job_015,5,1197.28,2261.212002293132,M4,1611.34,69.0,1680.34,0.0
Job_015,6,1197.28,2261.212002293132,M8,1680.34,21.0,1701.34,0.0
Job_015,7,1197.28,2261.212002293132,M7,1757.34,49.0,1806.34,0.0
Job_015,8,1197.28,2261.212002293132,M9,1890.74,72.0,1962.74,0.0
Job_015,9,1197.28,2261.212002293132,M6,1962.74,53.0,2015.74,0.0
Job_016,0,1198.72,2736.413072016537,M1,1769.99,91.0,1860.99,0.0
Job_016,1,1198.72,2736.413072016537,M0,1860.99,85.0,1945.99,0.0
Job_016,2,1198.72,2736.413072016537,M3,2104.39,39.0,2143.39,0.0
Job_016,3,1198.72,2736.413072016537,M2,2143.39,74.0,2217.39,0.0
Job_016,4,1198.72,2736.413072016537,M8,2353.19,90.0,2443.19,0.0
Job_016,5,1198.72,2736.413072016537,M5,2443.19,10.0,2453.19,0.0
Job_016,6,1198.72,2736.413072016537,M7,2453.19,12.0,2465.19,0.0
Job_016,7,1198.72,2736.413072016537,M6,2465.19,89.0,2554.19,0.0
Job_016,8,1198.72,2736.413072016537,M9,2583.99,45.0,2628.99,0.0
Job_016,9,1198.72,2736.413072016537,M4,2628.99,33.0,2661.99,0.0
Job_017,0,1324.04,2393.3864145185426,M0,1514.08,29.0,1543.08,0.0
Job_017,1,1324.04,2393.3864145185426,M1,1543.19,78.0,1621.19,0.0
Job_017,2,1324.04,2393.3864145185426,M2,1708.59,9.0,1717.59,0.0
Job_017,3,1324.04,2393.3864145185426,M3,1767.39,36.0,1803.39,0.0
