Job,Machine,Start,Duration,End
Job 0,M0,119.0,29,148.0
Job 0,M1,445.0,78,523.0
Job 0,M2,523.0,9,532.0
Job 0,M3,532.0,36,568.0
Job 0,M4,568.0,49,617.0
Job 0,M5,622.0,11,633.0
Job 0,M6,645.0,62,707.0
Job 0,M7,721.0,56,777.0
Job 0,M8,856.0,44,900.0
Job 0,M9,900.0,21,921.0
Job 1,M0,0.0,43,43.0
Job 1,M2,224.0,90,314.0
Job 1,M4,355.0,75,430.0
Job 1,M9,517.0,11,528.0
Job 1,M3,610.0,69,679.0
Job 1,M1,679.0,28,707.0
Job 1,M6,707.0,46,753.0
Job 1,M5,767.0,46,813.0
Job 1,M7,813.0,72,885.0
Job 1,M8,900.0,30,930.0
Job 2,M1,308.0,91,399.0
Job 2,M0,408.0,85,493.0
Job 2,M3,493.0,39,532.0
Job 2,M2,532.0,74,606.0
Job 2,M8,609.0,90,699.0
Job 2,M5,699.0,10,709.0
Job 2,M7,709.0,12,721.0
Job 2,M6,753.0,89,842.0
Job 2,M9,852.0,45,897.0
Job 2,M4,897.0,33,930.0
Job 3,M1,0.0,81,81.0
Job 3,M2,84.0,95,179.0
Job 3,M0,185.0,71,256.0
Job 3,M4,256.0,99,355.0
Job 3,M6,355.0,9,364.0
Job 3,M8,364.0,52,416.0
Job 3,M7,416.0,85,501.0
Job 3,M3,732.0,98,830.0
Job 3,M9,830.0,22,852.0
Job 3,M5,887.0,43,930.0
Job 4,M2,179.0,14,193.0
Job 4,M0,269.0,6,275.0
Job 4,M1,286.0,22,308.0
Job 4,M5,308.0,61,369.0
Job 4,M3,370.0,26,396.0
Job 4,M4,430.0,69,499.0
Job 4,M8,499.0,21,520.0
Job 4,M7,530.0,49,579.0
Job 4,M9,604.0,72,676.0
Job 4,M6,842.0,53,895.0
Job 5,M2,0.0,84,84.0
Job 5,M1,84.0,2,86.0
Job 5,M5,86.0,52,138.0
Job 5,M3,138.0,95,233.0
Job 5,M8,233.0,48,281.0
Job 5,M9,289.0,72,361.0
Job 5,M0,361.0,47,408.0
Job 5,M6,420.0,65,485.0
Job 5,M4,499.0,6,505.0
Job 5,M7,505.0,25,530.0
Job 6,M1,86.0,46,132.0
Job 6,M0,148.0,37,185.0
Job 6,M3,233.0,61,294.0
Job 6,M2,375.0,13,388.0
Job 6,M6,388.0,32,420.0
Job 6,M5,421.0,21,442.0
Job 6,M9,442.0,32,474.0
Job 6,M8,520.0,89,609.0
Job 6,M7,679.0,30,709.0
Job 6,M4,740.0,55,795.0
Job 7,M2,193.0,31,224.0
Job 7,M0,275.0,86,361.0
Job 7,M1,399.0,46,445.0
Job 7,M5,451.0,74,525.0
Job 7,M4,525.0,32,557.0
Job 7,M6,557.0,88,645.0
Job 7,M8,699.0,19,718.0
Job 7,M9,718.0,48,766.0
Job 7,M7,777.0,36,813.0
Job 7,M3,830.0,79,909.0
Job 8,M0,43.0,76,119.0
Job 8,M1,217.0,69,286.0
Job 8,M3,294.0,76,370.0
Job 8,M5,370.0,51,421.0
Job 8,M2,421.0,85,506.0
Job 8,M9,506.0,11,517.0
Job 8,M6,517.0,40,557.0
Job 8,M7,590.0,89,679.0
Job 8,M4,679.0,26,705.0
Job 8,M8,718.0,74,792.0
Job 9,M1,132.0,85,217.0
Job 9,M0,256.0,13,269.0
Job 9,M2,314.0,61,375.0
Job 9,M6,381.0,7,388.0
Job 9,M8,435.0,64,499.0
Job 9,M9,528.0,76,604.0
Job 9,M5,633.0,47,680.0
Job 9,M3,680.0,52,732.0
Job 9,M4,795.0,90,885.0
Job 9,M7,885.0,45,930.0
